,seconds_interaction,dyad_01_MG_P1P2,dyad_02_MG_P1P2,dyad_03_MG_P1P2,dyad_04_MG_P1P2,dyad_05_MG_P1P2,dyad_06_MG_P1P2,dyad_07_MG_P1P2,dyad_08_MG_P1P2,dyad_09_MG_P1P2,dyad_10_MG_P1P2,dyad_11_MG_P1P2
230367,409.773,0.0,,,,,,,,,,
230368,409.774,,,,,,,,,,,0.0
230369,409.775,,,0.0,,,,,,,,
230370,409.781,,0.0,,,,0.0,,0.0,,,
230371,409.782,,0.0,,,,,,,,,
230372,409.784,0.0,,,,1.0,,,,,,
230373,409.785,,,,1.0,,,,,,,
230374,409.786,,,,1.0,,,,,,,
230375,409.787,,,,,,,0.0,,,,0.0
230376,409.795,0.0,,,,,0.0,,,,,
230377,409.796,,,,,,,,,0.0,,
230378,409.797,,,0.0,,,,,,,,
230379,409.8,,,,,,,0.0,0.0,,,0.0
230380,409.803,,,,1.0,1.0,,,,,,
230381,409.805,,0.0,,,,,,,,,
230382,409.806,0.0,,,,,,,,,,
230383,409.81,,,,,,0.0,,,,,
230384,409.811,,,,,,0.0,,,,,
230385,409.813,,,,,,,0.0,,,,
230386,409.815,,,0.0,,,,,,,,
230387,409.816,,0.0,,,,,,,,,
230388,409.817,0.0,,,,,,,0.0,,,
230389,409.818,,,,1.0,1.0,,,,0.0,,
230390,409.819,,,,,1.0,,,,,,
230391,409.82,,,,,,,,,,,0.0
230392,409.824,,,,,,0.0,,,,,
230393,409.827,,0.0,,,,,,,,,
230394,409.828,0.0,,,,,,,,,,
230395,409.83,,,,,,,0.0,,,,
230396,409.832,,,0.0,,,,,,,,
230397,409.833,,,,1.0,,,,0.0,,,
230398,409.834,,,,,,,,,,,0.0
230399,409.836,,,,,1.0,,,,,,
230400,409.837,,0.0,,,,,,,,,
230401,409.838,,,,,,0.0,,,,,
230402,409.84,0.0,,,,,,,,0.0,,
230403,409.843,,,,,,,0.0,,,,
230404,409.846,,,,,,,,,,,0.0
230405,409.847,,,,,,,,,,,0.0
230406,409.848,,0.0,,,,,,0.0,,,
230407,409.849,,,0.0,,,,,,,,
230408,409.851,,,,,1.0,,,,,,
230409,409.852,,,,1.0,,,,,,,
230410,409.853,,,,,,0.0,,,,,
230411,409.854,0.0,,,,,,,,,,
230412,409.859,,0.0,,,,,,,,,0.0
230413,409.86,,,,,,,,,0.0,,
230414,409.861,,,,,,,0.0,,,,
230415,409.863,0.0,,,,,,,,,,
230416,409.866,,,0.0,,1.0,,,,,,
230417,409.867,,,,,,,,0.0,,,
230418,409.869,,,,,,0.0,,,,,
230419,409.87,,0.0,,,,,,,,,
230420,409.872,,,,,,,,,,,0.0
230421,409.873,0.0,,,,,,,,,,
230422,409.874,,,,1.0,,,,,,,
230423,409.88,,,,,0.0,,0.0,,,,
230424,409.881,,0.0,,,,,,,,,
230425,409.883,0.0,,,,,0.0,,,,,
230426,409.884,0.0,,,,,,,0.0,,,
230427,409.885,,,,,,,,,0.0,,0.0
230428,409.886,,,0.0,,,,,,,,
230429,409.89,,,,1.0,,,,,,,
230430,409.893,,0.0,,,,,0.0,,,,
230431,409.896,0.0,,,,,,,,,,
230432,409.897,,,,,,,,,,,0.0
230433,409.898,,,,,,,,,,,0.0
230434,409.9,,,,,,,,0.0,,,
230435,409.903,,0.0,,,0.0,0.0,,,,,
230436,409.904,,,,,,0.0,,,,,
230437,409.905,,,,1.0,,,,,,,
230438,409.906,0.0,,,,,,,,,,
230439,409.907,,,,,,,0.0,,0.0,,
230440,409.908,,,0.0,,,,,,,,
230441,409.909,,,0.0,,,,,,,,
230442,409.911,,,,,,,,,,,0.0
230443,409.915,,0.0,,,,,,0.0,,,
230444,409.917,0.0,,,,,,,,,,
230445,409.918,,,,,0.0,,,,,,
230446,409.919,,,,,0.0,,,,,,
230447,409.92,,,,,,0.0,0.0,,,,
230448,409.921,,,,1.0,,,,,,,
230449,409.926,,0.0,0.0,,,,,,,,
230450,409.927,,,0.0,,,,,,,,
230451,409.928,0.0,,,,,,,,,,
230452,409.929,,,,,,,,,,,0.0
230453,409.93,,,,,,,,,0.0,,0.0
230454,409.931,,,,,,,,,0.0,,
230455,409.932,,,,,,,,0.0,,,
230456,409.935,,,,,,0.0,,,,,
230457,409.936,,,,,0.0,,,,,,
230458,409.937,,0.0,,,,,,,,,
230459,409.939,,,,,,,0.0,,,,
230460,409.94,0.0,,,1.0,,,,,,,
230461,409.942,,,0.0,,,,,,,,
230462,409.943,,,,,,,,,,,0.0
230463,409.946,,,,,,,,0.0,,,
230464,409.947,,,,,,,,0.0,,,
230465,409.948,,0.0,,,,,,,,,
230466,409.949,,0.0,,,,0.0,,,,,
230467,409.95,0.0,,,,,,,,,,
230468,409.951,,,,,,,,,0.0,,
230469,409.952,,,,,,,0.0,,0.0,,
230470,409.953,,,,,0.0,,,,,,
230471,409.954,,,,,0.0,,,,,,
230472,409.956,,,,1.0,,,,,,,0.0
230473,409.959,,0.0,,,,,,,,,
230474,409.962,0.0,,,,,,,,,,
230475,409.963,,,0.0,,,,,,,,
230476,409.967,,,,,,,0.0,0.0,,,
230477,409.969,,,,,,0.0,,,,,
230478,409.97,,0.0,,,,0.0,,,,,0.0
230479,409.972,,,,,0.0,,,,,,
230480,409.973,0.0,,,,,,,,,,
230481,409.974,,,,1.0,,,,,,,
230482,409.977,,,,,,,,,0.0,,
230483,409.978,,,,,,,,,0.0,,
230484,409.981,,,,,,,0.0,,,,
230485,409.983,,,,,,,,0.0,,,
230486,409.984,0.0,,,,,0.0,,,,,0.0
230487,409.985,,,0.0,,,,,,,,
230488,409.992,,0.0,,,0.0,,,,,,
230489,409.993,,0.0,,,,,,,,,
230490,409.994,,,,,,,0.0,,,,
230491,409.995,0.0,,,,,,,,,,
230492,409.998,,,,,,,,,0.0,,0.0
230493,409.999,,,,,,,,,0.0,,
230494,410.001,,,,,,,,0.0,,,
230495,410.002,,,0.0,,,,,,,,
230496,410.003,,,,,,0.0,,,,,
230497,410.006,0.0,,,,,,,,,,
230498,410.007,,,,,0.0,,,,,,
230499,410.008,,0.0,,,,,0.0,,,,
230500,410.009,,0.0,,,,,,,,,
230501,410.01,,,,,,,,,,,0.0
230502,410.011,,,,,,,,,,,0.0
230503,410.012,,,,1.0,,,,,,,
230504,410.017,0.0,,,,,,,0.0,,,
230505,410.019,,,0.0,,,0.0,,,,,
230506,410.023,,0.0,,,,,,,,,
230507,410.024,,0.0,,,,,,,,,
230508,410.026,,,,,0.0,,,,,,
230509,410.027,,,,1.0,0.0,,,,0.0,,
230510,410.028,0.0,,,,,,,,,,
230511,410.029,,,,,,,0.0,,,,
230512,410.03,,,,,,,,,,,0.0
230513,410.033,,,,,,0.0,,0.0,,,
230514,410.034,,0.0,,,,,,,,,
230515,410.035,,,,,,,,,0.0,,
230516,410.036,,,0.0,,,,,,,,
230517,410.039,0.0,,,,,,,,,,
230518,410.042,,,,,0.0,,,,,,
230519,410.043,,,,,0.0,,0.0,,,,0.0
230520,410.044,,,,,,,,,,,0.0
230521,410.046,,0.0,,,,,,,,,
230522,410.047,,,,1.0,,0.0,,0.0,,,
230523,410.054,0.0,,,,,,,,,,
230524,410.055,,,0.0,,,,,,,,
230525,410.056,,0.0,,,,,,,,,
230526,410.057,,0.0,,,,,,,0.0,,
230527,410.058,,,,,,,,,,,0.0
230528,410.06,,,,,0.0,,,,,,
230529,410.062,,,,,,0.0,0.0,,,,
230530,410.063,,,,,,,0.0,,,,
230531,410.064,0.0,,,1.0,,,,,,,
230532,410.067,,,,,,,,0.0,,,
230533,410.068,,0.0,,,,,,,,,
230534,410.071,,,,,,,,,,,0.0
230535,410.072,,,,,,,,,,,0.0
230536,410.073,0.0,,,,,,,,,,
230537,410.075,,,,,0.0,,,,,,
230538,410.076,,,0.0,,,,,,,,
230539,410.078,,,,,,,0.0,,,,
230540,410.079,,0.0,,,,,,,,,
230541,410.08,,,,,,0.0,,,,,
230542,410.083,,,,,,,,0.0,,,
230543,410.084,0.0,,,,,,,,0.0,,0.0
230544,410.085,,,,1.0,,,,,,,
230545,410.09,,0.0,,,,,,,,,
230546,410.091,,0.0,,,,,,,,,
230547,410.092,,,,,0.0,,0.0,,,,
230548,410.095,0.0,,0.0,,,0.0,,,,,
230549,410.097,,,,,,,,,,,0.0
230550,410.101,,,,1.0,,,,0.0,,,
230551,410.102,,0.0,,,,,,,,,
230552,410.106,0.0,,,,,,0.0,,0.0,,
230553,410.107,,,,,0.0,,,,,,
230554,410.108,,,,,,0.0,,,,,
230555,410.11,,,,,,,,,,,0.0
230556,410.113,,0.0,0.0,,,,,,,,
230557,410.116,,,,,,,,0.0,,,
230558,410.117,,,,1.0,,,,,,,
230559,410.118,,,,1.0,,,,,,,
230560,410.12,0.0,,,,,,0.0,,,,
230561,410.121,,,,,,0.0,,,,,
230562,410.122,,,,,,0.0,,,,,
230563,410.123,,0.0,,,,,,,,,
230564,410.128,,,,,0.0,,,,0.0,,
230565,410.129,,,,,,,,,0.0,,
230566,410.13,,,0.0,,,,,,,,0.0
230567,410.131,,,0.0,,,,,0.0,,,
230568,410.134,0.0,,,1.0,,,,,,,
230569,410.135,,,,1.0,,,,,,,
230570,410.136,,0.0,,,,,,,,,
230571,410.137,,0.0,,,,,,,,,
230572,410.14,,,,,,,0.0,,,,
230573,410.143,,,,,,0.0,,,,,0.0
230574,410.146,0.0,,,,0.0,,,0.0,,,
230575,410.148,,0.0,,,,,,,,,
230576,410.15,,,,,,,,,0.0,,
230577,410.151,,,,1.0,,,,,,,
230578,410.152,,,,1.0,,,,,,,
230579,410.153,,,0.0,,,,,,,,
230580,410.154,,,,,,,0.0,,,,
230581,410.157,,,,,,,,,,,0.0
230582,410.158,,0.0,,,,,,,,,
230583,410.159,,0.0,,,,0.0,,,,,
230584,410.16,0.0,,,,0.0,,,,,,
230585,410.167,,,,,,,0.0,0.0,,,
230586,410.169,0.0,0.0,0.0,,,,,,,,0.0
230587,410.172,,,,,,,,,,,0.0
230588,410.173,,,,,,0.0,,,,,
230589,410.174,,,,1.0,,,,,0.0,,
230590,410.175,,,,1.0,,,,,,,
230591,410.179,0.0,,,,,,,,,,
230592,410.181,,,,,1.0,,,,,,
230593,410.183,,,,,,,0.0,0.0,,,
230594,410.185,,,0.0,,,,,,,,0.0
230595,410.186,,,0.0,,,,,,,,0.0
230596,410.187,,0.0,,,,,,,,,
230597,410.188,0.0,,,,,,,,,,
230598,410.19,,,,1.0,,,,,,,
230599,410.191,,,,1.0,,,,,,,
230600,410.192,,,,,,0.0,,,,,
230601,410.195,,,,,,,,,0.0,,
230602,410.197,,,,,1.0,,0.0,,,,
230603,410.198,0.0,,,,1.0,,,,,,
230604,410.201,,0.0,,,,,,0.0,,,0.0
230605,410.203,,,0.0,,,,,,,,
230606,410.204,,,0.0,,,,,,,,
230607,410.205,,,,1.0,,0.0,,,,,
230608,410.207,0.0,,,,,,,,,,
230609,410.211,,,,,,,0.0,,,,
230610,410.213,,0.0,,,,,,,,,
230611,410.215,,,,,1.0,,,,,,
230612,410.216,,,,,,,,0.0,,,
230613,410.217,0.0,,,,,,,,,,
230614,410.218,,,,,,,,,0.0,,
230615,410.219,,,,,,,,,,,0.0
230616,410.22,,,,,,0.0,,,,,
230617,410.221,,,0.0,1.0,,,,,,,
230618,410.222,,,0.0,,,,,,,,
230619,410.223,,0.0,,,,,,,,,
230620,410.224,,0.0,,,,,,,,,
230621,410.226,0.0,,,,,,,,,,
230622,410.228,,,,,,,0.0,,,,
230623,410.229,,,,,,,0.0,,,,
230624,410.231,,,,,,,,0.0,,,
230625,410.232,,,,,1.0,,,,,,0.0
230626,410.234,,,,1.0,,,,,,,
230627,410.235,,0.0,,,,0.0,,,,,
230628,410.236,0.0,0.0,,,,,,,,,
230629,410.241,,,0.0,,,,,,0.0,,
230630,410.243,,,,,,,0.0,,,,
230631,410.244,,,,,,,0.0,,,,
230632,410.245,0.0,,,,,,,,,,
230633,410.246,,0.0,,,,,,0.0,,,
230634,410.247,,,,,1.0,,,,,,
230635,410.248,,,,,,0.0,,,,,
230636,410.251,,,,1.0,,,,,,,
230637,410.252,,,,1.0,,,,,,,0.0
230638,410.254,0.0,,,,,,,,,,
230639,410.257,,0.0,,,,,,,,,
230640,410.26,,,0.0,,,,,,,,
230641,410.262,,,,,1.0,,,,,,
230642,410.263,0.0,,,,,0.0,0.0,,,,
230643,410.265,,,,,,,,,0.0,,0.0
230644,410.267,,,,,,,,0.0,,,
230645,410.269,,0.0,,,,,,,,,
230646,410.273,0.0,,,,,,,,,,
230647,410.274,,,,1.0,,,,,,,
230648,410.277,,,0.0,,,,0.0,,,,
230649,410.279,,,,,,,,,,,0.0
230650,410.28,,0.0,,,,0.0,,,,,
230651,410.281,,,,,1.0,,,,,,
230652,410.283,0.0,,,,,,,,,,
230653,410.284,,,,,,,,0.0,,,
230654,410.288,,,,,,,,,0.0,,
230655,410.29,,,,1.0,,,,,,,
230656,410.291,,0.0,,1.0,,,0.0,,,,
230657,410.292,,0.0,,,,,,,,,0.0
230658,410.294,,,0.0,,,,,,,,
230659,410.295,0.0,,,,,0.0,,,,,
230660,410.297,,,,,1.0,,,,,,
230661,410.301,,,,,,,,0.0,,,
230662,410.302,,0.0,,,,,,,,,
230663,410.303,,0.0,0.0,,,,,,,,
230664,410.305,,,,1.0,,,0.0,,,,
230665,410.306,0.0,,,,,,,,,,0.0
230666,410.312,,,,,,,,,0.0,,
230667,410.313,,,,,,,,,0.0,,
230668,410.314,,0.0,,,,0.0,0.0,,,,
230669,410.315,,,,,1.0,,,,,,
230670,410.317,,,,,,,,0.0,,,
230671,410.318,0.0,,,,,,,,,,
230672,410.319,,,,,,,,,,,0.0
230673,410.32,,,0.0,,,,,,,,
230674,410.321,,,0.0,1.0,,,,,,,
230675,410.324,,0.0,,,,,,,,,
230676,410.325,,0.0,,,,,,,,,
230677,410.327,,,,,,,0.0,,,,
230678,410.328,0.0,,,,,0.0,,,,,
230679,410.332,,,,,1.0,,,,,,0.0
230680,410.333,,,,,1.0,,,0.0,0.0,,
230681,410.335,,0.0,,,,,,,,,
230682,410.338,,,0.0,,,,,,,,
230683,410.339,0.0,,,,,,,,,,
230684,410.341,,,,1.0,,,0.0,,,,
230685,410.342,,,,,,0.0,,,,,
230686,410.346,,0.0,,,,,,,,,
230687,410.348,,,,,,,,0.0,,,
230688,410.35,0.0,,,,0.0,,,,,,
230689,410.352,,,,,,,,,,,0.0
230690,410.355,,,0.0,,,0.0,0.0,,,,
230691,410.357,,0.0,,,,,,,0.0,,
230692,410.362,0.0,,,,,,,,,,
230693,410.363,,,,1.0,,,,,,,
230694,410.364,,,,,0.0,,,,,,
230695,410.365,,,,,,,,,,,0.0
230696,410.368,,,,,,,,0.0,,,
230697,410.371,,0.0,,,,0.0,,,,,
230698,410.372,,0.0,,,,,,,,,
230699,410.373,0.0,,,,,,0.0,,,,
230700,410.374,,,0.0,,,,,,,,
230701,410.375,,,0.0,,,,,,,,
230702,410.379,,,,,,,,,0.0,,
230703,410.38,,,,1.0,0.0,,,,,,
230704,410.381,,,,,0.0,,,,,,
230705,410.384,0.0,,,,,0.0,,0.0,,,
230706,410.386,,,,,,,,,,,0.0
230707,410.387,,0.0,,,,,,,,,
230708,410.388,,,,,,,0.0,,,,
230709,410.395,0.0,,,,,,,,,,
230710,410.396,,,,1.0,0.0,,,,,,
230711,410.397,,,0.0,,,,,,,,
230712,410.398,,0.0,,,,,,,,,
230713,410.401,,,,,,,,0.0,,,
230714,410.402,,,,,,,0.0,,,,
230715,410.403,,,,,,0.0,,,,,
230716,410.404,,,,,,,,0.0,,,
230717,410.405,,,,,,,,,0.0,,0.0
230718,410.406,0.0,,,,,,,,,,0.0
230719,410.409,,0.0,,,,,,,,,
230720,410.41,,0.0,,,,,,,,,
230721,410.412,,,,1.0,,,,,,,
230722,410.413,,,,1.0,,,,,,,
230723,410.414,,,0.0,,,,,,,,
230724,410.415,,,,,0.0,,0.0,,,,
230725,410.417,0.0,,,,,,,,,,
230726,410.418,,,,,,,,,,,0.0
230727,410.42,,0.0,,,,0.0,,0.0,,,
230728,410.421,,0.0,,,,,,,,,
230729,410.427,,,,,,,,,0.0,,
230730,410.428,0.0,,,,,,0.0,,0.0,,
230731,410.43,,,,0.0,0.0,,,,,,
230732,410.431,,0.0,0.0,,0.0,,,,,,0.0
230733,410.432,,0.0,,,,,,,,,
230734,410.436,,,,,,0.0,,,,,
230735,410.437,,,,,,,,0.0,,,
230736,410.44,0.0,,,,,,,,,,
230737,410.442,,0.0,,,,,,,,,
230738,410.443,,0.0,,,,,0.0,,,,
230739,410.447,,,,,0.0,,,,,,
230740,410.449,,,,,,0.0,,,,,
230741,410.45,0.0,,,,,,,,,,
230742,410.451,,,,,,,,,0.0,,
230743,410.452,,,0.0,1.0,,,,,0.0,,0.0
230744,410.453,,0.0,,1.0,,,,,,,
230745,410.454,,0.0,,,,,,,,,
230746,410.456,,,,,,,,0.0,,,
230747,410.461,,,,,0.0,,,,,,
230748,410.462,0.0,,,,,,0.0,,,,
230749,410.463,,,,,,,0.0,,,,
230750,410.464,,0.0,,,,,,,,,
230751,410.465,,,,,,0.0,,,,,
230752,410.469,,,,,,,,,,,0.0
230753,410.47,,,,,,,,0.0,,,
230754,410.471,,,,,,,,0.0,,,
230755,410.472,,,,1.0,,,,,0.0,,
230756,410.473,0.0,,,,,,,,,,
230757,410.474,,,1.0,,,,,,,,
230758,410.475,,0.0,,,,,,,,,
230759,410.478,,,,,,,0.0,,,,
230760,410.479,,,,,,0.0,,,,,
230761,410.482,,,,,1.0,,,,,,
230762,410.484,0.0,,,,,,,,,,
230763,410.486,,0.0,,,,,,,,,
230764,410.487,,,,1.0,,,,,,,0.0
230765,410.488,,,,1.0,,,,,,,
230766,410.49,,,,,,,0.0,,,,
230767,410.491,,,1.0,,,,,,,,
230768,410.492,,,,,,0.0,,0.0,,,
230769,410.495,0.0,,,,,,,,,,
230770,410.496,,,,,0.0,,,,,,
230771,410.497,,0.0,,,,,,,,,
230772,410.5,,,,,,,,,,,0.0
230773,410.503,,,,,,,0.0,,,,
230774,410.506,0.0,,,,,0.0,,,,,
230775,410.507,,,,1.0,,,,,0.0,,
230776,410.508,,0.0,1.0,,,,,0.0,,,
230777,410.509,,0.0,,,,,,,,,
230778,410.511,,,,,0.0,,,,,,
230779,410.512,,,,,,,,,,,0.0
230780,410.513,,,,,,,,,,,0.0
230781,410.517,0.0,,,,,,0.0,,,,
230782,410.518,0.0,,,,,,,,,,
230783,410.52,,0.0,,,,,,,,,
230784,410.522,,,,1.0,,,,,,,
230785,410.525,,,0.0,,,,,,,,
230786,410.526,,,,,0.0,0.0,,0.0,,,0.0
230787,410.528,0.0,,,,,,,,0.0,,
230788,410.53,,,,,,,0.0,,,,
230789,410.538,,,,,,,,,,,0.0
230790,410.539,0.0,,,,,,,,,,0.0
230791,410.541,,,,1.0,0.0,1.0,,,,,
230792,410.543,,,0.0,,,,,,,,
230793,410.545,,,,,,,,0.0,,,
230794,410.548,,0.0,,,,,,,,,
230795,410.551,0.0,,,,,,0.0,,,,0.0
230796,410.552,,,,,,,,,0.0,,
230797,410.557,,0.0,,,,,,,,,
230798,410.558,,0.0,,,,,,,,,
230799,410.559,,0.0,,1.0,1.0,1.0,,,,,
230800,410.56,,,0.0,,,,,0.0,,,
230801,410.562,0.0,,,,,,,,,,
230802,410.564,,,,,,,,,,,0.0
230803,410.565,,,,,,,,,,,0.0
230804,410.566,,,,,,,0.0,,,,
230805,410.571,,0.0,,,,,,,,,
230806,410.572,,,,,,1.0,,,,,
230807,410.573,0.0,,,,,,,,0.0,,
230808,410.574,,,,1.0,1.0,,,,,,
230809,410.575,,,,,1.0,,,,,,
230810,410.578,,,0.0,,,,,,,,
230811,410.579,,,,,,,,0.0,,,
230812,410.581,,0.0,,,,,,,,,
230813,410.582,,0.0,,,,,,,,,
230814,410.584,0.0,,,,,,0.0,,,,
230815,410.586,,,,,,,,,,,0.0
230816,410.587,,,,,,,,,,,0.0
230817,410.588,,,,,,1.0,,,,,
230818,410.589,,,,1.0,,,,,,,
230819,410.59,,,,0.0,,,,,,,
230820,410.591,,,,,1.0,,,,,,
230821,410.593,,0.0,,,,,,,,,
230822,410.595,0.0,,,,,,,,0.0,,
230823,410.596,,,0.0,,,,,,,,
230824,410.597,,,0.0,,,,,,,,
230825,410.598,,,,,,,,0.0,,,
230826,410.599,,,,,,,0.0,,,,0.0
230827,410.601,,,,,1.0,1.0,,,,,
230828,410.602,,,,,1.0,,,,,,
230829,410.606,0.0,,,,,,,,,,
230830,410.607,,,,0.0,,,,,,,
230831,410.612,,0.0,,,,,0.0,,,,
230832,410.613,,0.0,0.0,,,,,0.0,,,
230833,410.614,,,,,,1.0,,,,,
230834,410.617,,,,,1.0,,,,0.0,,
230835,410.618,0.0,,,,,,,,,,
230836,410.619,,,,,,,,,,,0.0
230837,410.625,,0.0,,,,,0.0,,,,
230838,410.626,,0.0,,,,,,,,,
230839,410.628,0.0,,,,,,,,,,
230840,410.63,,,0.0,,,1.0,,,,,
230841,410.631,,,,0.0,1.0,,,,,,
230842,410.632,,,,,,,,,,,0.0
230843,410.634,,,,,,,,0.0,,,
230844,410.636,,0.0,,,,,,,,,
230845,410.639,,,,,,,0.0,,,,
230846,410.64,0.0,,,,,,,,0.0,,
230847,410.644,,,,,,,,,,,0.0
230848,410.645,,,,0.0,,,,,,,0.0
230849,410.646,,0.0,,,,,,,,,
230850,410.647,,0.0,,,0.0,1.0,,,,,
230851,410.648,,,,,0.0,,,,,,
230852,410.651,,,,,,,,0.0,,,
230853,410.652,,,0.0,,,,0.0,,,,
230854,410.657,,0.0,,,,,,,,,
230855,410.658,,,,,,,,,,,0.0
230856,410.661,0.0,,,0.0,,1.0,,,,,
230857,410.662,,,,,0.0,,,,0.0,,
230858,410.668,,0.0,,,,,,0.0,,,
230859,410.67,0.0,,,,,,,,,,
230860,410.671,,,,,,,,,,,0.0
230861,410.673,,,,,,,0.0,,,,
230862,410.674,,,0.0,,,,,,,,
230863,410.677,,,,0.0,,,,,,,
230864,410.679,,0.0,,,,,,,,,
230865,410.68,0.0,,,,0.0,,,,,,
230866,410.681,,,,,0.0,1.0,,,,,
230867,410.683,,,,,,,,0.0,,,
230868,410.684,,,,,,,,,,,0.0
230869,410.685,,,,,,,,,0.0,,
230870,410.69,0.0,0.0,,,,,,,,,
230871,410.691,,0.0,0.0,,,,0.0,,,,
230872,410.695,,,,,,1.0,,,,,
230873,410.696,,,,0.0,,,,,,,
230874,410.697,,,,0.0,1.0,,,,,,0.0
230875,410.699,,,,,,,,0.0,,,
230876,410.701,,0.0,,,,,,,,,
230877,410.702,,0.0,,,,,,,,,
230878,410.705,0.0,,,,,,,,0.0,,
230879,410.707,,,,,,,0.0,,,,
230880,410.708,,,0.0,,,,,,,,
230881,410.709,,,,,,1.0,,,,,
230882,410.71,,,,,,,,,,,0.0
230883,410.712,,,,,1.0,,,,,,
230884,410.713,,0.0,,,,,,0.0,,,
230885,410.715,0.0,,,,,,,,,,
230886,410.718,,,,0.0,,,,,,,
230887,410.721,,,,,,,0.0,,,,
230888,410.723,,0.0,,,,1.0,,,,,
230889,410.724,,0.0,,,,,,,,,
230890,410.725,0.0,,,,,,,,,,
230891,410.726,,,0.0,,,,,,,,
230892,410.728,,,,,1.0,,,,,,
230893,410.729,,,,,,,,,0.0,,
230894,410.73,,,,,,,,,,,0.0
230895,410.733,,,,,,,0.0,,,,
230896,410.734,0.0,,,0.0,,,0.0,0.0,,,
230897,410.735,,0.0,,,,,,,,,
230898,410.737,,,,,,1.0,,,,,
230899,410.743,0.0,,0.0,,,,,,,,0.0
230900,410.746,,0.0,,,,,,,,,
230901,410.747,,,,,0.0,,0.0,,,,
230902,410.749,,,,0.0,,,,,,,
230903,410.75,,,,0.0,,,,0.0,,,
230904,410.751,,,,,,,,,0.0,,
230905,410.752,,,,,,1.0,,,,,
230906,410.753,0.0,,,,,,,,,,
230907,410.757,,0.0,,,,,,,,,
230908,410.761,,,,,0.0,,,,,,
230909,410.762,0.0,,,,0.0,,0.0,,,,
230910,410.763,,,0.0,,,,,,,,0.0
230911,410.764,,,0.0,,,,,,,,0.0
230912,410.765,,,,0.0,,,,,,,
230913,410.769,,0.0,,,,,,0.0,,,
230914,410.77,,,,,,1.0,,,,,
230915,410.773,0.0,,,,,,,,0.0,,
230916,410.775,,,,,,,0.0,,,,
230917,410.777,,,,,,,,,,,0.0
230918,410.779,,0.0,,,,,,,,,
230919,410.781,,,0.0,,0.0,,,,,,
230920,410.783,,,,,,1.0,,,,,
230921,410.784,0.0,,,,,,,0.0,,,
230922,410.785,,,,0.0,,,,,,,
230923,410.786,,,,0.0,,,,,,,
230924,410.79,,,,,,,,,,,0.0
230925,410.791,,0.0,,,,,,,,,
230926,410.792,,0.0,,,,,,,,,
230927,410.795,0.0,,,,,,0.0,,0.0,,
230928,410.796,,,,,1.0,,0.0,,,,
230929,410.798,,,0.0,,,,,,,,
230930,410.8,,,,,,,,0.0,,,
230931,410.802,,0.0,,,,,,,,,
230932,410.803,,,,,,1.0,,,,,0.0
230933,410.804,,,,,,1.0,,,,,
230934,410.806,0.0,,,,,,,,,,
230935,410.808,,,,0.0,,,,,,,
230936,410.81,,,,,1.0,,,,,,
230937,410.811,,,,,1.0,,,,,,
230938,410.812,,,,,,,0.0,,,,
230939,410.813,,0.0,,,,,,,,,
230940,410.815,,,0.0,,,,,0.0,,,
230941,410.816,,,,,,,,,,,0.0
230942,410.817,0.0,,,,,1.0,,,,,
230943,410.818,,,,,,,,,0.0,,
230944,410.823,,0.0,,,,,,,,,
230945,410.824,,0.0,,0.0,,,,,,,
230946,410.826,,,,,1.0,,,,,,
230947,410.828,0.0,,,,,,,,,,
230948,410.829,,,,,,,0.0,,,,
230949,410.83,,,,,,,,,,,0.0
230950,410.832,,,0.0,,,,,,,,
230951,410.833,,,,,,1.0,,,,,
230952,410.834,,,,,,,,0.0,,,
230953,410.835,,0.0,,,,,,,,,
230954,410.839,0.0,,,0.0,,,,,0.0,,
230955,410.84,,,,0.0,,,,,,,
230956,410.843,,,,,,,,,,,0.0
230957,410.845,,,,,,,0.0,,,,
230958,410.846,,0.0,,,,,,,,,
230959,410.847,,,,,1.0,1.0,,,,,
230960,410.85,,,,,,,,0.0,,,
230961,410.852,,,0.0,,,,,,,,
230962,410.853,0.0,,,,,,,,,,
230963,410.854,,,,0.0,,,,,,,
230964,410.855,,,,0.0,,,,,,,
230965,410.857,,0.0,,,,,,,,,
230966,410.858,,,,,,,0.0,,,,
230967,410.86,,,,,,1.0,,,,,
230968,410.862,0.0,,,,1.0,,,,0.0,,
230969,410.863,,,,,,,,,,,0.0
230970,410.868,,0.0,,,,,,0.0,,,
230971,410.869,,,0.0,,,,,,,,
230972,410.872,,,,,,,0.0,,,,
230973,410.873,0.0,,,0.0,,,,,,,
230974,410.874,,,,0.0,,,,,0.0,,
230975,410.877,,,,,,,,,,,0.0
230976,410.879,,0.0,,,,,,,,,
230977,410.881,,,,,,1.0,,,,,
230978,410.883,,,,,1.0,,,,,,
230979,410.884,0.0,,,,1.0,,,,,,
230980,410.885,,,,,,,,0.0,,,
230981,410.886,,,0.0,,,,0.0,,,,
230982,410.887,,,,,,,0.0,,,,
230983,410.891,,0.0,,,,,,,,,
230984,410.895,0.0,,,,,,,,,,
230985,410.896,,,,0.0,,,,,,,
230986,410.897,,,,,,1.0,,,0.0,,0.0
230987,410.901,,0.0,,,,,,,,,
230988,410.902,,0.0,,,,,,0.0,,,
230989,410.903,,,0.0,,,,,,,,
230990,410.904,,,,,1.0,,,,,,
230991,410.906,0.0,,,,,,,,,,
230992,410.907,,,,,,,0.0,,,,
