,seconds_interaction,dyad_01_MG_P1P2,dyad_02_MG_P1P2,dyad_03_MG_P1P2,dyad_04_MG_P1P2,dyad_05_MG_P1P2,dyad_06_MG_P1P2,dyad_07_MG_P1P2,dyad_08_MG_P1P2,dyad_09_MG_P1P2,dyad_10_MG_P1P2,dyad_11_MG_P1P2
271,0.466,,,,0.0,,,,,,,
272,0.467,0.0,,,,,,,,,,
273,0.468,,0.0,,,,,,,,,
274,0.469,,0.0,,,,,,,,,
275,0.47,,,,,,,,,,0.0,
276,0.471,,,,,,,,,,,0.0
277,0.477,0.0,,,,,,0.0,,,,
278,0.478,,,,,,,,,,,0.0
279,0.479,,0.0,,,,,,,,,0.0
280,0.48,,,,,,0.0,,,,,
281,0.481,,,,,,,,0.0,,,
282,0.483,,,,,1.0,,,,,,
283,0.484,,,1.0,,,,,,,,
284,0.487,0.0,,,,,,,,0.0,,
285,0.488,,,,0.0,,,,,,,
286,0.489,,,,0.0,,,,,,,
287,0.49,,0.0,,,,,,,,,
288,0.491,,,,,,,0.0,,,,
289,0.492,,,,,,,,,,,0.0
290,0.495,,,,,,0.0,,,,0.0,
291,0.497,,,,,1.0,,,0.0,,,
292,0.498,0.0,,,,,,,,,,
293,0.501,,0.0,,,,,,,,,
294,0.502,,0.0,,,,,,,,,
295,0.503,,,1.0,,,,,,,,
296,0.504,,,1.0,,,,,,,,0.0
297,0.506,,,,,,,0.0,,,,
298,0.507,,,,0.0,,,,,,,
299,0.508,0.0,,,,,,,,0.0,,
300,0.509,,,,,,0.0,,,,,
301,0.512,,0.0,,,,,,,,,
302,0.514,,,,,,,,0.0,,,
303,0.516,,,,,1.0,,,,,,
304,0.517,,,,,1.0,,,,,0.0,
305,0.518,,,,,,,,,,,0.0
306,0.519,0.0,,,,,,0.0,,,,
307,0.523,,0.0,1.0,,,0.0,,,,,
308,0.524,,0.0,,,,,,,,,
309,0.529,0.0,,,,,,,,,,
310,0.531,,,,,1.0,,,,0.0,,
311,0.533,,,,,,,0.0,,,,
312,0.534,,0.0,,,,,,0.0,,,
313,0.535,,0.0,,,,,,,,,
314,0.536,,,,0.0,,,,,,,
315,0.537,,,,,,0.0,,,,,
316,0.538,,,,,,,,,,,0.0
317,0.541,0.0,,,,,,,,,0.0,
318,0.544,,,1.0,,,,,,,,
319,0.545,,,,,1.0,,,,,,
320,0.546,,0.0,,,,,,,,,
321,0.548,,,,,,,,0.0,,,
322,0.551,0.0,,,,,,,,,,0.0
323,0.552,,,,,,,0.0,,,,
324,0.553,,,,,,0.0,,,0.0,,
325,0.556,,0.0,,0.0,,,,,,,
326,0.557,,0.0,,,,,,,,,
327,0.558,,,,,1.0,,,,,,
328,0.562,,,,,,,,,,0.0,
329,0.563,0.0,,1.0,,,,,,,,
330,0.564,,,,,,,,0.0,,,
331,0.566,,,,,,,0.0,,,,
332,0.568,,0.0,,,,,,,,,
333,0.569,,,,,,0.0,,,,,
334,0.574,0.0,,,0.0,1.0,,,,,,0.0
335,0.575,,,,,,,,,,,0.0
336,0.577,,,,,,,,,0.0,,
337,0.578,,,,,,,,,0.0,,
338,0.579,,0.0,,,,,,0.0,,,
339,0.581,,,,,,,0.0,,,,
340,0.583,,,1.0,,,0.0,,,,,
341,0.584,0.0,,,,,,,,,0.0,
342,0.585,0.0,,,,,,,,,,
343,0.588,,,,,1.0,,,,,,
344,0.59,,0.0,,,,,,,,,
345,0.592,,,,0.0,,,,,,,
346,0.594,,,,,,,0.0,,,,
347,0.595,,,,,,,,,,,0.0
348,0.596,0.0,,,,,,,,,,
349,0.598,,,,,,,,,0.0,,
350,0.6,,,,,,,,0.0,,,
351,0.601,,0.0,,,,,,,,,
352,0.603,,,1.0,,,0.0,,,,,
353,0.604,,,,,,0.0,,,,,
354,0.605,,,,,1.0,,,,,,
355,0.606,,,,,1.0,,,,,0.0,
356,0.607,0.0,,,,,,,,,,
357,0.608,,,,,,,0.0,,,,
358,0.611,,,,,,,,,,,0.0
359,0.612,,,,0.0,,,,,,,
360,0.613,,0.0,,0.0,,,,,,,
361,0.614,,0.0,,,,,,,,,
362,0.618,0.0,,,,,0.0,,,,,
363,0.619,,,,,1.0,,,,,,
364,0.62,,,,,1.0,,,,,,
365,0.621,,,,,,,,,0.0,,
366,0.622,,,1.0,,,,0.0,,,,0.0
367,0.623,,,,,,,,0.0,,,
368,0.627,,0.0,,,,,,,,,
369,0.628,,0.0,,,,,,,,,
370,0.629,,,,,,,,,,0.0,
371,0.63,0.0,,,,,,,,,,
372,0.632,,,,0.0,,,,,,,
373,0.633,,,,0.0,,0.0,,,,,
374,0.637,,,,,,,,0.0,,,
375,0.638,,0.0,,,,,,,,,0.0
376,0.639,,,,,1.0,,,,,,
377,0.64,0.0,,,,,,0.0,,,,
378,0.642,,,1.0,,,,,,,,
