,triad_01_MG_P1P2,triad_01_MG_P1P3,triad_01_MG_P2P3,triad_01_seconds_interaction,triad_03_MG_P1P2,triad_03_MG_P1P3,triad_03_MG_P2P3,triad_03_seconds_interaction,triad_04_MG_P1P2,triad_04_MG_P1P3,triad_04_MG_P2P3,triad_04_seconds_interaction,triad_05_MG_P1P2,triad_05_MG_P1P3,triad_05_MG_P2P3,triad_05_seconds_interaction,triad_06_MG_P1P2,triad_06_MG_P1P3,triad_06_MG_P2P3,triad_06_seconds_interaction,triad_07_MG_P1P2,triad_07_MG_P1P3,triad_07_MG_P2P3,triad_07_seconds_interaction,triad_08_MG_P1P2,triad_08_MG_P1P3,triad_08_MG_P2P3,triad_08_seconds_interaction,triad_09_MG_P1P2,triad_09_MG_P1P3,triad_09_MG_P2P3,triad_09_seconds_interaction,triad_02_MG_P1P2,triad_02_MG_P1P3,triad_02_MG_P2P3,triad_02_seconds_interaction,triad_11_MG_P1P2,triad_11_MG_P1P3,triad_11_MG_P2P3,triad_11_seconds_interaction,triad_10_MG_P1P2,triad_10_MG_P1P3,triad_10_MG_P2P3,triad_10_seconds_interaction,triad_14_MG_P1P2,triad_14_MG_P1P3,triad_14_MG_P2P3,triad_14_seconds_interaction,triad_12_MG_P1P2,triad_12_MG_P1P3,triad_12_MG_P2P3,triad_12_seconds_interaction,triad_13_MG_P1P2,triad_13_MG_P1P3,triad_13_MG_P2P3,triad_13_seconds_interaction
23325,0,0,0,269.478,0.0,0.0,0.0,304.815,0.0,0.0,0.0,242.399,0.0,0.0,0.0,318.744,0.0,0.0,0.0,320.617,0.0,0.0,0.0,156.021,0.0,0.0,0.0,243.41,0.0,0.0,1.0,331.521,0.0,0.0,0.0,289.171,1.0,0.0,0.0,,0.0,0.0,0.0,369.459,0.0,0.0,0.0,341.721,0.0,0.0,0.0,251.721,0.0,0.0,0.0,375.585
23326,0,0,0,269.496,0.0,0.0,0.0,304.834,0.0,0.0,0.0,242.409,0.0,0.0,0.0,318.761,0.0,0.0,0.0,320.632,0.0,0.0,0.0,156.042,0.0,0.0,0.0,243.431,0.0,0.0,1.0,331.548,0.0,0.0,0.0,289.172,1.0,0.0,0.0,,0.0,0.0,0.0,369.477,0.0,0.0,0.0,341.748,0.0,0.0,0.0,251.741,0.0,0.0,0.0,375.591
23327,0,0,0,269.506,0.0,0.0,0.0,304.85,0.0,0.0,0.0,242.41,0.0,0.0,0.0,318.778,0.0,0.0,0.0,320.636,0.0,0.0,0.0,156.056,0.0,0.0,0.0,243.457,0.0,0.0,0.0,331.549,0.0,0.0,0.0,289.194,1.0,0.0,0.0,,0.0,0.0,0.0,369.494,0.0,0.0,0.0,341.76,0.0,0.0,0.0,251.742,0.0,0.0,0.0,375.609
23328,0,0,0,269.518,0.0,0.0,0.0,304.851,0.0,0.0,0.0,242.421,0.0,0.0,0.0,318.795,0.0,0.0,0.0,320.651,0.0,0.0,0.0,156.068,0.0,0.0,0.0,243.474,0.0,0.0,1.0,331.571,0.0,0.0,0.0,289.195,1.0,0.0,0.0,,0.0,0.0,0.0,369.511,0.0,0.0,0.0,341.773,0.0,0.0,0.0,251.764,0.0,0.0,0.0,375.626
23329,0,0,0,269.519,0.0,0.0,0.0,304.867,0.0,0.0,0.0,242.432,0.0,0.0,0.0,318.811,0.0,0.0,0.0,320.667,0.0,0.0,0.0,156.081,0.0,0.0,0.0,243.491,0.0,0.0,1.0,331.596,0.0,0.0,0.0,289.215,1.0,0.0,0.0,,0.0,0.0,0.0,369.53,0.0,0.0,0.0,341.794,0.0,0.0,0.0,251.765,0.0,0.0,0.0,375.647
23330,0,0,0,269.533,0.0,0.0,0.0,304.868,0.0,0.0,0.0,242.444,0.0,0.0,0.0,318.828,0.0,0.0,0.0,320.689,0.0,0.0,0.0,156.094,0.0,0.0,0.0,243.492,0.0,0.0,1.0,331.619,0.0,0.0,0.0,289.216,1.0,0.0,0.0,,0.0,0.0,0.0,369.548,0.0,0.0,0.0,341.807,0.0,0.0,0.0,251.781,0.0,0.0,0.0,375.669
23331,0,0,0,269.552,0.0,0.0,0.0,304.885,0.0,0.0,0.0,242.455,0.0,0.0,0.0,318.844,0.0,0.0,0.0,320.69,0.0,0.0,0.0,156.107,0.0,0.0,0.0,243.515,0.0,0.0,1.0,331.642,0.0,0.0,0.0,289.233,1.0,0.0,0.0,,0.0,0.0,0.0,369.565,0.0,0.0,0.0,341.828,0.0,0.0,0.0,251.782,0.0,0.0,0.0,375.67
23332,0,0,0,269.566,0.0,0.0,0.0,304.886,0.0,0.0,0.0,242.466,0.0,0.0,0.0,318.861,0.0,0.0,0.0,320.707,0.0,0.0,0.0,156.12,0.0,0.0,0.0,243.537,0.0,0.0,1.0,331.664,0.0,0.0,0.0,289.251,1.0,0.0,0.0,,0.0,0.0,0.0,369.596,0.0,0.0,0.0,341.84,0.0,0.0,0.0,251.809,0.0,0.0,0.0,375.688
23333,0,0,0,269.586,0.0,0.0,0.0,304.903,0.0,0.0,0.0,242.477,0.0,0.0,0.0,318.879,0.0,0.0,0.0,320.722,0.0,0.0,0.0,156.133,0.0,0.0,0.0,243.555,0.0,0.0,1.0,331.665,0.0,0.0,0.0,289.268,1.0,0.0,0.0,,0.0,0.0,0.0,369.613,0.0,0.0,0.0,341.867,0.0,0.0,0.0,251.827,0.0,0.0,0.0,375.708
23334,0,0,0,269.599,0.0,0.0,0.0,304.924,0.0,0.0,0.0,242.478,0.0,0.0,0.0,318.895,0.0,0.0,0.0,320.737,0.0,0.0,0.0,156.153,0.0,0.0,0.0,243.573,0.0,0.0,1.0,331.689,0.0,0.0,0.0,289.285,1.0,0.0,0.0,,0.0,0.0,0.0,369.63,0.0,0.0,0.0,341.88,0.0,0.0,0.0,251.828,0.0,0.0,0.0,375.727
