,seconds,arousal,dominance,valence,task_engagement,speaking_p_blue,sentiment_p_blue,engagement_p_blue,speaking_p_green,sentiment_p_green,engagement_p_green,SP,SI,OV_all_SP,OV_two_SP,Unnamed: 0,MG,DG_P1_target,DG_P2_target,1d_DG_P1,1d_DG_P2,0_D1,DG,G_OnSpeaker,G_SP_OnSilent,G_SP,G_OnSpeaker_OV,No_G_OnSpeaker,No_G_SP,G_SI,No_G_SI,session,speaking_p_red,sentiment_p_red,engagement_p_red,MG_P1P2,MG_P1P3,MG_P2P3,DG_P3_target,1d_DG_P3,1_D1,2_D1_same,2_D1_different,3_D1,MG_D1,MG_D0,0_D1.1
118,240,0.49888185821965536,0.488022274840484,0.4461516834781812,0.9519031790181517,0.5047671433810048,-0.17624946784121745,0.7888510568546021,0.16996699669966997,-0.004264349602126878,0.5581099315606283,0.680968096809681,0.3184818481848185,0.0,0.00055005500550055,21867.251191785846,0.16006600660066006,0.2968463513017969,0.376971030436377,0.16153281994866153,0.3085808580858086,0.11386138613861387,0.7260726072607261,0.4211587825449212,0.05793912724605794,0.6178951228456179,0.00055005500550055,0.2598093142647598,0.06307297396406307,0.2676934360102677,0.05078841217455079,triad_01,0.007334066740007334,-0.03475874287275394,0.49425503969655304,0.04363769710304364,0.09167583425009168,0.024752475247524754,0.6894022735606894,0.572973964063073,0.4633296662999633,0.12852951961862852,0.13164649798313163,0.002566923359002567,0.0517051705170517,0.10836083608360836,0.11386138613861387
119,300,0.49191107013382224,0.4706378425976168,0.46164022798716775,0.51689764395967,0.7919340054995417,-0.10626362735655362,0.8915768451044913,0.053528872593950505,-0.03510213139908341,0.5505428378004888,0.8439963336388634,0.15527039413382218,0.0,0.0007332722273143905,26735.031530705775,0.025847846012832264,0.08377635197066911,0.4307974335472044,0.05792850595783685,0.4064161319890009,0.27717690192483957,0.6969752520623281,0.5200733272227315,0.04087992667277727,0.5802016498625114,0.0007332722273143905,0.323923006416132,0.26379468377635196,0.14188817598533457,0.013382218148487626,triad_01,0.0,-0.034985602,0.4338792395514818,0.024381301558203484,0.001466544454628781,0.0,0.462878093492209,0.4614115490375802,0.476993583868011,0.16993583868011,0.04802933088909257,0.0020164986251145736,0.006782768102658112,0.01906507791017415,0.27717690192483957
120,360,0.49733595069856984,0.49322439747891456,0.43910928530986437,0.398296386273469,0.18335166850018336,-0.08382917870883755,0.6464435658522797,0.3325999266593326,0.009895615168500188,0.5439526834407468,0.5938760542720939,0.4061239457279061,0.0,0.0,31622.95214521452,0.1024935826916025,0.2733773377337734,0.4385771910524386,0.21690502383571691,0.3588192152548588,0.20645397873120647,0.691052438577191,0.17986798679867988,0.16978364503116977,0.5025669233590025,0.0,0.414008067473414,0.09130913091309131,0.290979097909791,0.11514484781811514,triad_01,0.07792445911257792,-0.03514655185441878,0.46760936713146317,0.033736707004033736,0.022735606894022736,0.046021268793546025,0.5067840117345068,0.43802713604693805,0.42005867253392004,0.13256325632563257,0.12871287128712872,0.009717638430509717,0.04198753208654199,0.06050605060506051,0.20645397873120647
121,420,0.5078156424582951,0.4909423913877177,0.4426403829734189,0.030276965,0.18166819431714024,-0.05719149574078827,0.6801882380931867,0.05792850595783685,-0.007082428497525204,0.33303505290543844,0.45426214482126487,0.5444546287809349,0.0,0.0012832263978001834,36471.87552703941,0.08322639780018332,0.26672777268560954,0.14262144821264894,0.1924839596700275,0.13363886342804765,0.49459211732355635,0.42218148487626034,0.05847846012832264,0.07406049495875344,0.23391384051329056,0.0012832263978001834,0.39578368469294223,0.22034830430797434,0.2702108157653529,0.27424381301558204,triad_01,0.21723189734188816,-0.006578413101924838,0.7654358161054079,0.0,0.07424381301558204,0.008982584784601283,0.2471127406049496,0.16388634280476627,0.36040329972502294,0.016865261228230982,0.044912923923006415,0.0,0.006049495875343721,0.0771769019248396,0.49459211732355635
122,480,0.5013150383425009,0.4918188052585259,0.43414543892922625,0.030276964999999996,0.0,-0.034985602,0.5088014697440716,0.17326732673267325,-0.07523739441840852,0.3849453863668867,0.4732306563989732,0.5267693436010268,0.0,0.0,41395.566923359,0.13182984965163183,0.4136413641364136,0.5760909424275761,0.3846718005133847,0.45287862119545286,0.2004033736707004,0.6677667766776678,0.0,0.20553722038870553,0.4107077374404107,0.0,0.4732306563989732,0.06252291895856252,0.3888888888888889,0.1378804547121379,triad_01,0.29996332966629996,-0.059290344998166475,0.6642193313215071,0.02035203520352035,0.008617528419508618,0.10286028602860287,0.30986431976530987,0.1983865053171984,0.38998899889988997,0.10982764943160983,0.13678034470113679,0.03116978364503117,0.05922258892555922,0.07260726072607261,0.2004033736707004
123,540,0.49940707758020164,0.4831652997415215,0.43760726929055915,0.030276965,0.07461044912923923,-0.04836773535875344,0.543373379434311,0.03153070577451879,-0.019178468335105406,0.47371555153727474,0.307974335472044,0.6821264894592117,0.0,0.009899175068744272,46333.96186984418,0.04857928505957837,0.3065077910174152,0.22566452795600367,0.29019248395967,0.1934005499541705,0.3824014665444546,0.569019248395967,0.04124656278643447,0.06892758936755271,0.21888175985334554,0.006599450045829514,0.26672777268560954,0.08909257561869845,0.3915673693858845,0.29055912007332724,triad_01,0.22163153070577452,-0.08303501758221815,0.6402618400597311,0.0,0.016315307057745188,0.03226397800183318,0.30614115490375804,0.25756186984417967,0.42804766269477545,0.04986251145737855,0.08927589367552705,0.0018331805682859762,0.02933088909257562,0.01924839596700275,0.3824014665444546
124,600,0.5059870586101943,0.48150097376420975,0.46863526465713234,0.9475323337321997,0.0,-0.034985602,0.5284158437614594,0.0,-0.006865382,0.4094727731620523,0.6730839750641731,0.32691602493582694,0.0,0.0,51198.16226622662,0.24697469746974698,0.20443711037770443,0.39585625229189586,0.20333700036670332,0.14998166483314998,0.19526952695269528,0.5577557755775577,0.0,0.4614961496149615,0.5748074807480749,0.0,0.6730839750641731,0.09827649431609828,0.2299229922992299,0.09699303263659699,triad_01,0.6730839750641731,-0.3283070119214888,0.7118073312825449,0.0,0.0011001100110011,0.24587458745874588,0.6254125412541254,0.37843784378437845,0.43784378437843785,0.021085441877521087,0.09882654932159883,0.0,0.05408874220755409,0.19288595526219288,0.19526952695269528
125,660,0.5025538584289643,0.4771082633125573,0.456723932659945,0.9000965070577605,0.35087076076993584,-0.400717084804033,0.7027175445659946,0.0,-0.006865382,0.40374978819798346,0.6703941338221815,0.3296058661778185,0.0,0.0,56060.37983501375,0.3087076076993584,0.07516040329972502,0.72025664527956,0.06672777268560953,0.41998166819431715,0.054445462878093494,0.6368469294225482,0.3035747021081577,0.2500458295142072,0.6262144821264894,0.0,0.3668194317140238,0.044179651695692025,0.31934005499541707,0.010265811182401467,triad_01,0.31952337305224565,-0.15435926004729605,0.5002857100288726,0.0,0.008432630614115491,0.3002749770852429,0.6670944087992667,0.35838680109990834,0.45499541704857926,0.12410632447296059,0.05774518790100825,0.0,0.026397800183318058,0.28230980751604035,0.054445462878093494
126,720,0.4733921227096436,0.4561658219129979,0.43489372150419287,0.40584390469941123,0.0,-0.6875719,0.36136629532486025,0.0,-0.006865382,0.4047944584591195,0.32337526205450734,0.6766247379454927,0.0,0.0,59293.21331236897,0.08857442348008386,0.20440251572327045,0.2562893081761006,0.19811320754716982,0.1740041928721174,0.49318658280922434,0.41823899371069184,0.0,0.16037735849056603,0.23375262054507337,0.0,0.32337526205450734,0.08962264150943396,0.2730607966457023,0.40356394129979034,triad_01,0.32337526205450734,0.0036813997232704363,0.6655534737692174,0.0,0.006289308176100629,0.08228511530398323,0.2552410901467505,0.16666666666666666,0.3338574423480084,0.016771488469601678,0.06027253668763103,0.007337526205450734,0.028825995807127882,0.059748427672955975,0.49318658280922434
127,0,0.4609657603574702,0.4513291783996334,0.403124566355637,0.021675555,0.014115490375802016,-0.034970627965169566,0.31486867663715246,0.07332722273143905,-0.02297228026104491,0.4832104757549649,0.08744271310724107,0.912557286892759,0.0,0.0,2335.7143904674613,0.007882676443629697,0.2724106324472961,0.03538038496791934,0.26452795600366635,0.03538038496791934,0.5908340971585702,0.4012832263978002,0.0,0.016681943171402383,0.05151237396883593,0.0,0.08744271310724107,0.03593033913840513,0.35765352887259394,0.554903758020165,triad_02,0.0,-0.034985602,0.26251504,0.0,0.007882676443629697,0.0,0.12392300641613199,0.11604032997250228,0.38661778185151235,0.010999083409715857,0.0036663611365719525,0.0,0.0,0.007882676443629697,0.5908340971585702
128,60,0.4779399555343721,0.46762501621264896,0.4438662835783685,0.7707453440691109,0.4293308890925756,-0.08016211517635198,0.5750409933699969,0.2456461961503208,-0.04684333089165903,0.4923837222595478,0.8276810265811182,0.17231897341888175,0.0,0.0,7058.882493125573,0.034097158570119156,0.15013748854262146,0.06636113657195233,0.11604032997250228,0.06636113657195233,0.6553620531622365,0.31054078826764436,0.10742438130155821,0.07002749770852429,0.2549954170485793,0.0,0.72025664527956,0.572685609532539,0.08964252978918423,0.08267644362969752,triad_02,0.15270394133822182,-0.025107685765352886,0.3043368748854262,0.0,0.034097158570119156,0.0,0.19505041246562788,0.1609532538955087,0.28744271310724107,0.006599450045829514,0.007516040329972502,0.008982584784601283,0.0007332722273143905,0.033363886342804766,0.6553620531622365
129,120,0.47440689460029334,0.46700145038503854,0.4651316290429043,0.9045442873140508,0.06288962229556289,-0.026066626874587457,0.5267878280706821,0.8133480014668133,-0.19716244558892557,0.5832667944027319,0.8762376237623762,0.12376237623762376,0.0,0.0,11798.458929226255,0.004583791712504583,0.14613127979464613,0.044187752108544184,0.14154748808214154,0.039603960396039604,0.7805280528052805,0.21488815548221488,0.0038503850385038503,0.033736707004033736,0.1883021635496883,0.0,0.8723872387238724,0.6879354602126879,0.03116978364503117,0.09259259259259259,triad_02,0.0,-0.034985602,0.13331153991733896,0.004583791712504583,0.0,0.0,0.037953795379537955,0.037953795379537955,0.21067106710671066,0.0034836817015034835,0.0007334066740007334,0.0,0.0,0.004583791712504583,0.7805280528052805
130,180,0.4810805500274977,0.4676597537580202,0.4377043878863428,0.9359187196165598,0.5796516956920257,-0.09498833239450045,0.667989837875802,0.002749770852428964,-0.034991177557836844,0.4699349923308891,0.875160403299725,0.12483959670027497,0.0,0.0,16521.52667277727,0.008065994500458295,0.09000916590284143,0.0,0.08194317140238314,0.0,0.7706691109074244,0.22126489459211732,0.021998166819431713,0.10669110907424381,0.20458295142071495,0.0,0.8531622364802933,0.6705774518790101,0.02474793767186068,0.1000916590284143,triad_02,0.29275893675527037,-0.10051349583318057,0.23056808442988083,0.0,0.008065994500458295,0.0,0.1532538955087076,0.14518790100824933,0.2153987167736022,0.0,0.005866177818515124,0.0,0.0,0.008065994500458295,0.7706691109074244
131,240,0.4847432646662999,0.4705089423927392,0.4563511637458746,0.9463272000000001,0.3085808580858086,-0.0431336129889989,0.5566043455052866,0.3910891089108911,0.09829684679317933,0.5177781538676507,0.9345434543454345,0.06545654565456546,0.0,0.0,21270.12467913458,0.007884121745507884,0.048954895489548955,0.22882288228822883,0.04107077374404107,0.2258892555922259,0.6358635863586358,0.3562522918958563,0.08892555922258892,0.23267326732673269,0.36065273193986064,0.0,0.8456178951228456,0.5738907224055739,0.0034836817015034835,0.06197286395306197,triad_02,0.23487348734873487,-0.15002542460249357,0.4554150238355641,0.0029336266960029336,0.0049504950495049506,0.0,0.11074440777411075,0.1057939127246058,0.33975064173083974,0.013201320132013201,0.0033003300330033004,0.0,0.0,0.007884121745507884,0.6358635863586358
132,300,0.48074871355087073,0.4719029517048579,0.4518656195692025,0.9463272,0.4716773602199817,-0.07890556136810266,0.6050930933832875,0.3836846929422548,-0.09014266708982585,0.5514201644816682,0.8661778185151238,0.1312557286892759,0.0,0.0025664527956003667,25979.151604033,0.0020164986251145736,0.08120989917506874,0.22804766269477544,0.07919340054995418,0.22603116406966087,0.6918423464711274,0.30614115490375804,0.005866177818515124,0.20348304307974335,0.2738771769019248,0.0,0.8603116406966086,0.592300641613199,0.034280476626947755,0.09697525206232814,triad_02,0.015948670944087993,-0.03245453974408799,0.2518392393299725,0.0020164986251145736,0.0,0.0,0.009532538955087076,0.009532538955087076,0.2975252062328139,0.0,0.008615948670944088,0.0,0.0,0.0020164986251145736,0.6918423464711274
