session,time_ms,arousal,dominance,valence,task_engagement,text_p_blue,speaking_p_blue,sentiment_p_blue,engagement_p_blue,text_p_green,speaking_p_green,sentiment_p_green,engagement_p_green
recording_dyad_04,679240.0,0.55148906,0.53026867,0.4369411,0.02031845,,False,-0.034985602,0.10336924,,False,-0.034985602,0.06898332
recording_dyad_04,679280.0,0.5305139,0.51116574,0.3962212,0.02031845,,False,-0.034985602,0.10336923999999999,,False,-0.034985602,0.06898332
recording_dyad_04,679320.0,0.5305402,0.5033612,0.42744145,0.02031845,,False,-0.034985602,0.10336924,,False,-0.034985602,0.06898332
recording_dyad_04,679360.0,0.52019453,0.492894,0.41569132,0.02031845,,False,-0.034985602,0.10336923999999999,,False,-0.034985602,0.06898332
recording_dyad_04,679400.0,0.49060693,0.48125738,0.41216725,0.02031845,,False,-0.034985602,0.10336924,,False,-0.034985602,0.06898332
recording_dyad_04,679440.0,0.57441473,0.5237083,0.4790686,0.02031845,,False,-0.034985602,0.10336924,,False,-0.034985602,0.06898332
recording_dyad_04,679480.0,0.6371577,0.6108176,0.4190164,0.02031845,,False,-0.034985602,0.10336923999999999,,False,-0.034985602,0.06898332
recording_dyad_04,679520.0,0.44588467,0.43457678,0.36257455,0.02031845,,False,-0.034985602,0.10336924,,False,-0.034985602,0.06898332
recording_dyad_04,679560.0,0.47890708,0.4533033,0.3616675,0.02031845,,False,-0.034985602,0.10336923999999999,,False,-0.034985602,0.06898332
recording_dyad_04,679600.0,0.47123665,0.45575896,0.39301816,0.02031845,,False,-0.034985602,0.10336924,,False,-0.034985602,0.06898332
recording_dyad_04,679640.0,0.52778316,0.55116093,0.38464502,0.02031845,,False,-0.034985602,0.10336924,,False,-0.034985602,0.06898332
recording_dyad_04,679680.0,0.52778316,0.55116093,0.38464502,0.02031845,,False,-0.034985602,0.10336923999999999,,False,-0.034985602,0.06898332
recording_dyad_04,679720.0,0.52778316,0.55116093,0.38464502,0.02031845,,False,-0.034985602,0.10336924,,False,-0.034985602,0.06898332
recording_dyad_04,679760.0,0.52778316,0.55116093,0.38464502,0.02031845,,False,-0.034985602,0.10336923999999999,,False,-0.034985602,0.06898332
recording_dyad_04,679800.0,0.52778316,0.55116093,0.38464502,0.02031845,,False,-0.034985602,0.10336924,,False,-0.034985602,0.06898332
recording_dyad_04,679840.0,0.52778316,0.55116093,0.38464502,0.02031845,,False,-0.034985602,0.10336924,,False,-0.034985602,0.06898332
recording_dyad_04,679880.0,0.52778316,0.55116093,0.38464502,0.02031845,,False,-0.034985602,0.10336923999999999,,False,-0.034985602,0.06898332
recording_dyad_04,679920.0,0.52778316,0.55116093,0.38464502,0.02031845,,False,-0.034985602,0.10336924,,False,-0.034985602,0.06898332
recording_dyad_04,679960.0,0.52778316,0.55116093,0.38464502,0.02031845,,False,-0.034985602,0.10336923999999999,,False,-0.034985602,0.06898332
recording_dyad_04,680000.0,0.52778316,0.55116093,0.38464502,0.02031845,,False,-0.034985602,0.10336924,,False,-0.034985602,0.06898332
recording_dyad_04,680040.0,0.52778316,0.55116093,0.38464502,0.02031845,,False,-0.034985602,0.10336924,,False,-0.034985602,0.06898332
recording_dyad_04,680080.0,0.52778316,0.55116093,0.38464502,0.02031845,,False,-0.034985602,0.10336923999999999,,False,-0.034985602,0.06898332
recording_dyad_04,680120.0,0.52778316,0.55116093,0.38464502,0.02031845,,False,-0.034985602,0.10336924,,False,-0.034985602,0.06898332
recording_dyad_04,680160.0,0.52778316,0.55116093,0.38464502,0.02031845,,False,-0.034985602,0.10336923999999999,,False,-0.034985602,0.06898332
recording_dyad_04,680200.0,0.52778316,0.55116093,0.38464502,0.02031845,,False,-0.034985602,0.10336924,,False,-0.034985602,0.06898332
recording_dyad_04,680240.0,0.52778316,0.55116093,0.38464502,0.02031845,,False,-0.034985602,0.10336924,,False,-0.034985602,0.06898332
recording_dyad_04,680280.0,0.52778316,0.55116093,0.38464502,0.02031845,,False,-0.034985602,0.10336923999999999,,False,-0.034985602,0.06898332
