session,role,segment_count,total_segment_duration_s,total_words,words_per_second_overall,avg_words_per_segment,avg_word_length,question_ratio,statement_ratio,sentiment_p_blue_mean_avg,sentiment_p_blue_mean_spread,engagement_p_blue_mean_avg,engagement_p_blue_mean_spread,task_engagement_mean_avg,task_engagement_mean_spread,arousal_mean_avg,arousal_mean_spread,dominance_mean_avg,dominance_mean_spread,valence_mean_avg,valence_mean_spread,sentiment_p_green_mean_avg,sentiment_p_green_mean_spread,engagement_p_green_mean_avg,engagement_p_green_mean_spread,sentiment_p_red_mean_avg,sentiment_p_red_mean_spread,engagement_p_red_mean_avg,engagement_p_red_mean_spread,sentiment_p_blue_std_avg,sentiment_p_blue_std_spread,engagement_p_blue_std_avg,engagement_p_blue_std_spread,task_engagement_std_avg,task_engagement_std_spread,arousal_std_avg,arousal_std_spread,dominance_std_avg,dominance_std_spread,valence_std_avg,valence_std_spread,sentiment_p_green_std_avg,sentiment_p_green_std_spread,engagement_p_green_std_avg,engagement_p_green_std_spread,sentiment_p_red_std_avg,sentiment_p_red_std_spread,engagement_p_red_std_avg,engagement_p_red_std_spread
recording_dyad_06,p_blue,88,219.481,848,3.8636601801522685,9.636363636363637,4.579647944720728,0.045454545454545456,0.9545454545454546,-0.09595313312161602,0.3387343651489985,0.5422325328157843,0.15820470079421295,0.7058728738770432,0.38664049932138933,0.4841222624302478,0.020275067779216498,0.47473297887216703,0.015824864884082714,0.49280423845177024,0.01334921873494122,,,,,,,,,0.002487762776471893,0.02257203639929603,0.0076074768081965515,0.020121514266609047,0.0081626776783725,0.03614615030485382,0.06261699661940383,0.01227095073784187,0.05078020639062452,0.010891379713982728,0.03780562639791618,0.009592396914897997,,,,,,,,
recording_dyad_06,p_green,109,306.359,1085,3.541596623569081,9.954128440366972,4.3373168288489135,0.05504587155963303,0.944954128440367,,,,,0.6746807218317507,0.40405469386975645,0.49564938848271506,0.020193359204351446,0.4783960454253091,0.017410261895748354,0.4819871236238087,0.010964778169089643,0.032908478479629646,0.45825764643498773,0.6057023183598035,0.1913617328830361,,,,,,,,,0.009233439670282007,0.03563570733682843,0.06690183675493733,0.01462762615429919,0.05895071766437233,0.012414387576209307,0.03726742877146328,0.008597916499391673,6.546974896371727e-17,9.74772710512699e-17,0.007852953523312119,0.02088353080762839,,,,
recording_dyad_07,p_blue,78,134.079,513,3.826102521647685,6.576923076923077,3.9018528455834964,0.10256410256410256,0.8974358974358975,-0.07646968903461539,0.39094329899153474,0.24316095348188135,0.15436170383196163,0.5665719901042854,0.41005538310604356,0.46678499169457704,0.03363684006337264,0.46197003193171016,0.023573016514279444,0.45327440457099755,0.019809171334859373,,,,,,,,,3.4889069909469435e-17,6.222192469930563e-17,0.009563180589200455,0.02573526824859252,0.018592259381537843,0.056525203383491034,0.06869529693153356,0.020215981975317245,0.05668903465066585,0.014993695086575335,0.042443848946948075,0.013619880630431992,,,,,,,,
recording_dyad_07,p_green,136,315.839,1165,3.6885881730881875,8.566176470588236,4.696974928583433,0.22794117647058823,0.7720588235294118,,,,,0.7396273796489573,0.3432036782404073,0.47173641488544754,0.022475930873795444,0.46291810138724626,0.0173265163414894,0.454694731954596,0.013091506476831641,-0.12468827809137849,0.38848135026457553,0.6836037888957304,0.18807730987008406,,,,,,,,,0.026078579965791247,0.07913727752764764,0.07894891399154921,0.013127969710753409,0.06542095967421015,0.010673766878973501,0.041781566978669284,0.008748814889603584,0.0005171201373011305,0.0046583774968193,0.009056459594855647,0.02561512738429081,,,,
recording_dyad_08,p_blue,140,334.52,931,2.783092191797202,6.65,4.593298898348736,0.04285714285714286,0.9571428571428572,-0.12589042878900003,0.272826313159389,0.4102660443156797,0.10702425405824931,0.5235237272412253,0.27469449132537915,0.4908077695580559,0.023879285865665848,0.4805433761282781,0.01913927146307972,0.4904601535325903,0.0109486003809548,,,,,,,,,2.3141133726518287e-17,4.259873189704078e-17,0.008582918178315706,0.028611503683190966,0.02560754322153986,0.07121516633153865,0.07100057922697207,0.013426116785359809,0.059114866357495646,0.01123298659200798,0.034490572814728705,0.006167515198340672,,,,,,,,
recording_dyad_08,p_green,84,222.161,583,2.6242229734291795,6.940476190476191,3.6828714902428845,0.08333333333333333,0.9166666666666666,,,,,0.5827827717991398,0.28924405395345354,0.4978869785596942,0.023892551854937653,0.47792437019549566,0.02006885953388445,0.4816776210926058,0.011539929581707478,-0.10532827927023813,0.2590855154614657,0.5143783911555166,0.1493667874020296,,,,,,,,,0.023298973424482235,0.05492562053277976,0.06969854067006061,0.016510558683125797,0.060086147865701885,0.014168105959170339,0.03830831230340313,0.008049835612895165,1.8121664882972002e-17,4.5282758168679274e-17,0.009820347021406205,0.025725727806614276,,,,
recording_dyad_09,p_blue,46,113.72100000000002,270,2.3742316722505072,5.869565217391305,4.097555429762424,0.10869565217391304,0.8913043478260869,-0.09518456183913047,0.2955969195275415,0.18129446598325702,0.10907647774859237,0.411103377392741,0.33421691455074365,0.5091197985500303,0.02328664528450368,0.4851505492307881,0.02043659810548901,0.47870674375601796,0.016688977946626226,,,,,,,,,4.1143115484580357e-17,6.762487462392535e-17,0.016105694823886355,0.03683208441581081,0.023543974605960426,0.05684944655233686,0.05970002614793434,0.011868548178467392,0.054898028182871365,0.012654108784810774,0.03861679370138321,0.008394825837770086,,,,,,,,
recording_dyad_09,p_green,45,119.999,271,2.258352152934608,6.022222222222222,4.127862058558475,0.24444444444444444,0.7555555555555555,,,,,0.370422659961406,0.30352233094175035,0.5095959938605584,0.021971928946895956,0.48924081208027553,0.017535950400940643,0.4706528664056578,0.023988020862318757,-0.12225802584444442,0.37639283586847966,0.4407236738733289,0.13814331852143355,,,,,,,,,0.044490453720507125,0.09244964022237158,0.06132030508604494,0.011277033128642963,0.05492691320967586,0.010519631952731893,0.045767689861460535,0.009866087838456904,3.0357660829594124e-17,4.313539519343845e-17,0.01107838732418102,0.02956245747721471,,,,
recording_dyad_10,p_blue,41,56.040000000000006,193,3.443968593861527,4.7073170731707314,4.700580720092915,0.24390243902439024,0.7560975609756098,-0.1058164130804878,0.3265088657808221,0.20238625158916282,0.12170986681522289,0.18409141886913163,0.1439803761719829,0.47519294176774324,0.019114218316876787,0.4748953000911636,0.014464013201821785,0.47235203322348307,0.014113764413379977,,,,,,,,,2.5269843805540195e-17,3.6666043930440306e-17,0.0054998369269487375,0.016646973774736125,0.004537434338154016,0.011427774664213299,0.057916484838265746,0.011763764142483847,0.045722603907759424,0.008331815069250284,0.039365155852955906,0.00921862966011478,,,,,,,,
recording_dyad_10,p_green,83,143.48000000000002,441,3.073599107889601,5.313253012048193,4.309259053412137,0.21686746987951808,0.7831325301204819,,,,,0.126231910752676,0.10447775059090761,0.4842980868481634,0.023933723636435745,0.47822703707261227,0.01867437729471607,0.4559448264718654,0.0208645354128319,-0.07671027881927708,0.3490511630658277,0.18515082286312018,0.11244417493401364,,,,,,,,,0.01023940591369147,0.02476879254788916,0.06153133028016421,0.010272375582943707,0.048572171658391804,0.008555668876874992,0.03944414255457507,0.009961759001507144,2.9824703617095224e-17,4.207985320849633e-17,0.008525736774711355,0.022221661093376848,,,,
