analysis,target,model,feature,coef,std_err,t,p_value,z
individual_engagement,engagement_target,linear_statsmodels,word_count,0.009600179028077015,0.0009988506751336525,9.611225448481026,1.219027476569088e-21,
individual_engagement,engagement_target,linear_statsmodels,avg_word_length,0.014053189059796863,0.002178666800114711,6.4503617804507485,1.2472741330804283e-10,
individual_engagement,engagement_target,linear_statsmodels,words_per_second,-0.0012036539653928445,0.0006457173112690411,-1.8640571413940867,0.06238608898677051,
individual_engagement,engagement_target,linear_statsmodels,question,0.06473693088186645,0.010797980147170545,5.9952815248349784,2.2088292525010764e-09,
individual_engagement,engagement_target,linear_statsmodels,statement,0.13309155787278748,0.008910741866810193,14.93608050397163,3.835004397686391e-49,
individual_engagement,engagement_target,linear_statsmodels,sentiment_p_blue_mean,-0.0019381436646588018,0.013101678468800303,-0.14793094405989296,0.8824046420706655,
individual_engagement,engagement_target,linear_statsmodels,sentiment_p_green_mean,0.01473597785898437,0.01256216849693758,1.1730441175483934,0.24084720274229832,
individual_engagement,engagement_target,linear_statsmodels,sentiment_p_red_mean,0.033263205399402834,0.018826317924301013,1.766846046749624,0.0773294327920793,
individual_engagement,engagement_target,linear_statsmodels,arousal_mean,1.5804895869274698,0.23938600836828833,6.602263840315734,4.574365954394522e-11,
individual_engagement,engagement_target,linear_statsmodels,dominance_mean,-1.727566455551175,0.2940856322846724,-5.874365374908575,4.5862407249126165e-09,
individual_engagement,engagement_target,linear_statsmodels,valence_mean,0.20489495915511097,0.1390013623959569,1.4740500065851923,0.1405459637909064,
individual_engagement,engagement_target,linear_statsmodels,role_p_green,0.06850306916134916,0.007145845626396136,9.586418842901494,1.5423956409202164e-21,
individual_engagement,engagement_target,linear_statsmodels,role_p_red,0.07213648955320229,0.009350583875065209,7.714650819353163,1.5178750733570473e-14,
individual_engagement,engagement_target,logistic_statsmodels,const,-1.588440663171073,2979674.740999887,,0.9999995746541516,-5.330919651445048e-07
individual_engagement,engagement_target,logistic_statsmodels,segment_duration_s,-0.13671945014964462,0.03728811676594383,,0.00024582668311016337,-3.6665689234945193
individual_engagement,engagement_target,logistic_statsmodels,word_count,0.10750082742424362,0.012312475718183462,,2.5232157637348605e-18,8.731048887713373
individual_engagement,engagement_target,logistic_statsmodels,avg_word_length,0.17681977708769692,0.025192696013889147,,2.239546521396892e-12,7.018692123709716
individual_engagement,engagement_target,logistic_statsmodels,words_per_second,-0.01760577346975203,0.009690018335279398,,0.06923275612549912,-1.816897848959993
individual_engagement,engagement_target,logistic_statsmodels,question,-1.0221283676939454,2979674.7409999315,,0.9999997262988364,-3.430335377313483e-07
individual_engagement,engagement_target,logistic_statsmodels,statement,-0.5663144484931631,2979674.740999923,,0.9999998483547385,-1.9005914998061788e-07
individual_engagement,engagement_target,logistic_statsmodels,sentiment_p_blue_mean,0.004314519260143971,0.14293792672365402,,0.9759198575994719,0.030184565839445496
individual_engagement,engagement_target,logistic_statsmodels,sentiment_p_green_mean,0.2786749775564838,0.14003503109295895,,0.0465867934353464,1.9900376026016804
individual_engagement,engagement_target,logistic_statsmodels,sentiment_p_red_mean,0.45529969661064984,0.2172839397833677,,0.036134252174186636,2.095413480925392
individual_engagement,engagement_target,logistic_statsmodels,arousal_mean,8.67446031812481,2.7015570020094613,,0.0013231469866938099,3.210911452792818
individual_engagement,engagement_target,logistic_statsmodels,dominance_mean,-5.299724476923528,3.28628049985595,,0.1068136747837047,-1.612681716352525
individual_engagement,engagement_target,logistic_statsmodels,valence_mean,-2.5719248455355515,1.5425499909562537,,0.09545074099563486,-1.6673202558195022
individual_engagement,engagement_target,logistic_statsmodels,role_p_green,0.7227878717060093,0.07980216441798269,,1.3378505841378714e-19,9.057246466652673
individual_engagement,engagement_target,logistic_statsmodels,role_p_red,1.037309594501073,0.10541299771385275,,7.538530395068294e-23,9.840433504385162
group_task_engagement,task_engagement_mean,linear,segment_duration_s,0.053589345108186685,,,,
group_task_engagement,task_engagement_mean,linear,word_count,0.027062359254179245,,,,
group_task_engagement,task_engagement_mean,linear,avg_word_length,-0.027227364950086395,,,,
group_task_engagement,task_engagement_mean,linear,words_per_second,0.007387052079086457,,,,
group_task_engagement,task_engagement_mean,linear,question,-0.029012876126963263,,,,
group_task_engagement,task_engagement_mean,linear,statement,0.029012876126963263,,,,
group_task_engagement,task_engagement_mean,linear,sentiment_p_blue_mean,0.007007107575828687,,,,
group_task_engagement,task_engagement_mean,linear,sentiment_p_green_mean,-0.003213813870819976,,,,
group_task_engagement,task_engagement_mean,linear,sentiment_p_red_mean,-0.007647964321983324,,,,
group_task_engagement,task_engagement_mean,linear,arousal_mean,-0.06369756100286826,,,,
group_task_engagement,task_engagement_mean,linear,dominance_mean,0.05413951947209709,,,,
group_task_engagement,task_engagement_mean,linear,valence_mean,0.020133395872638668,,,,
group_task_engagement,task_engagement_mean,linear,role_p_green,-0.01463769684444957,,,,
group_task_engagement,task_engagement_mean,linear,role_p_red,-0.035767634232061134,,,,
group_task_engagement,task_engagement_mean,logistic,segment_duration_s,0.1909296229872689,,,,
group_task_engagement,task_engagement_mean,logistic,word_count,0.24136601341591352,,,,
group_task_engagement,task_engagement_mean,logistic,avg_word_length,-0.16439255757066773,,,,
group_task_engagement,task_engagement_mean,logistic,words_per_second,0.13832829004209612,,,,
group_task_engagement,task_engagement_mean,logistic,question,-0.16959326611019349,,,,
group_task_engagement,task_engagement_mean,logistic,statement,0.16959326611019362,,,,
group_task_engagement,task_engagement_mean,logistic,sentiment_p_blue_mean,0.042485392286262844,,,,
group_task_engagement,task_engagement_mean,logistic,sentiment_p_green_mean,-0.016166385241401227,,,,
group_task_engagement,task_engagement_mean,logistic,sentiment_p_red_mean,-0.021848097809965016,,,,
group_task_engagement,task_engagement_mean,logistic,arousal_mean,0.07342878930784429,,,,
group_task_engagement,task_engagement_mean,logistic,dominance_mean,-0.10685122333462371,,,,
