groupset,split,detector,n,n_groups,n_feat,rank,model,acc_mean,acc_std,majority,perm_p,t_maj,p_ttest_maj,cohen_d_maj
g25,T,linguistic+AIED,129,14,11,2,NB,0.778,0.201,0.527,,4.673,0.0004,1.249
g25,T,linguistic+GazexSpeaking,129,14,13,1,NB,0.736,0.291,0.527,0.0033,2.689,0.0186,0.719
g25,T,linguistic+GazexSpeaking,129,14,13,2,QDA,0.708,0.283,0.527,,2.401,0.0320,0.642
g25,All,AIED,243,25,4,1,QDA,0.605,0.255,0.519,0.0897,1.687,0.1046,0.337
g25,All,AIED,243,25,4,2,NB,0.587,0.254,0.519,,1.350,0.1896,0.270
g25,T,GazexSpeaking,129,14,6,1,QDA,0.663,0.277,0.527,0.0033,1.840,0.0887,0.492
g25,T,GazexSpeaking,129,14,6,2,NB,0.645,0.278,0.527,,1.595,0.1347,0.426
g25,All,linguistic+AIED,243,25,11,1,NB,0.768,0.249,0.519,0.0033,5.023,0.0000,1.005
g25,All,linguistic+AIED,243,25,11,2,QDA,0.766,0.188,0.519,,6.582,0.0000,1.316
g16,D,AIxVR,72,7,2,1,QDA,0.644,0.225,0.653,0.8405,-0.104,0.9207,-0.039
g16,D,AIxVR,72,7,2,2,SVM,0.640,0.284,0.653,,-0.119,0.9089,-0.045
g25,All,GazexSpeaking,243,25,6,1,SVM,0.752,0.237,0.519,0.0033,4.930,0.0000,0.986
g25,All,GazexSpeaking,243,25,6,2,LogReg,0.738,0.236,0.519,,4.663,0.0001,0.933
g16,All,AIxVR,153,16,2,1,NB,0.630,0.263,0.562,0.0565,1.033,0.3180,0.258
g16,All,AIxVR,153,16,2,2,LogReg,0.623,0.266,0.562,,0.915,0.3747,0.229
g16,D,AIED,72,7,4,1,LogReg,0.748,0.178,0.653,0.2292,1.419,0.2058,0.536
g16,D,AIED,72,7,4,2,QDA,0.705,0.148,0.653,,0.925,0.3907,0.350
g16,D,GazexSpeaking,72,7,6,1,LogReg,0.806,0.082,0.653,0.0498,4.938,0.0026,1.866
g16,D,GazexSpeaking,72,7,6,2,SVM,0.754,0.155,0.653,,1.723,0.1356,0.651
g25,All,linguistic+GazexSpeaking,243,25,13,1,QDA,0.768,0.251,0.519,0.0033,4.973,0.0000,0.995
g25,All,linguistic+GazexSpeaking,243,25,13,2,NB,0.762,0.241,0.519,,5.052,0.0000,1.010
