groupset,split,detector,n,n_feat,model,acc_foldmean,acc_pooled,majority,TN,FP,FN,TP,prec_low,rec_low,f1_low,prec_high,rec_high,f1_high,macro_f1,weighted_f1,balanced_acc,mcc,macro_f1_foldmean,macro_f1_foldsd
g16,D,linguistic,72,7,NB,0.621,0.625,0.653,6,19,8,39,0.429,0.240,0.308,0.672,0.830,0.743,0.525,0.592,0.535,0.084,0.475,0.131
g16,All,linguistic,153,7,QDA,0.807,0.797,0.562,46,21,10,76,0.821,0.687,0.748,0.784,0.884,0.831,0.789,0.794,0.785,0.587,0.715,0.193
g25,All,linguistic+GazexSpeaking,243,13,QDA,0.768,0.770,0.519,86,40,16,101,0.843,0.683,0.754,0.716,0.863,0.783,0.769,0.768,0.773,0.553,0.662,0.259
g16,D,linguistic+GazexSpeaking,72,13,LogReg,0.768,0.764,0.653,15,10,7,40,0.682,0.600,0.638,0.800,0.851,0.825,0.732,0.760,0.726,0.466,0.624,0.142
g16,T,AIxVR,81,1,LogReg,0.596,0.580,0.519,25,17,17,22,0.595,0.595,0.595,0.564,0.564,0.564,0.580,0.580,0.580,0.159,0.478,0.183
g16,T,AIED,81,4,LogReg,0.615,0.593,0.519,29,13,20,19,0.592,0.690,0.637,0.594,0.487,0.535,0.586,0.588,0.589,0.182,0.485,0.263
g16,T,GazexSpeaking,81,6,NB,0.826,0.827,0.519,30,12,2,37,0.938,0.714,0.811,0.755,0.949,0.841,0.826,0.825,0.832,0.678,0.704,0.231
g16,T,linguistic,81,7,NB,0.868,0.864,0.519,33,9,2,37,0.943,0.786,0.857,0.804,0.949,0.871,0.864,0.864,0.867,0.741,0.792,0.206
g16,T,linguistic+AIED,81,11,NB,0.832,0.815,0.519,32,10,5,34,0.865,0.762,0.810,0.773,0.872,0.819,0.815,0.815,0.817,0.636,0.706,0.173
g16,T,linguistic+GazexSpeaking,81,13,NB,0.895,0.889,0.519,34,8,1,38,0.971,0.810,0.883,0.826,0.974,0.894,0.889,0.888,0.892,0.791,0.818,0.188
g25,All,linguistic+AIED,243,11,NB,0.768,0.770,0.519,81,45,11,106,0.880,0.643,0.743,0.702,0.906,0.791,0.767,0.766,0.774,0.565,0.661,0.249
g16,All,linguistic+AIED,153,11,LogReg,0.776,0.765,0.562,43,24,12,74,0.782,0.642,0.705,0.755,0.860,0.804,0.755,0.761,0.751,0.519,0.679,0.203
g16,All,linguistic+GazexSpeaking,153,13,NB,0.816,0.804,0.562,47,20,10,76,0.825,0.701,0.758,0.792,0.884,0.835,0.797,0.801,0.793,0.601,0.727,0.176
g25,All,linguistic,243,7,NB,0.768,0.761,0.519,82,44,14,103,0.854,0.651,0.739,0.701,0.880,0.780,0.760,0.759,0.766,0.543,0.661,0.218
