split,detector,model,test_group,k,selected
D,audio+linguistic+GazexSpeaking_sel,QDA,dyad_05,4,word_count|speech_ratio|blink_durations|No_G_SI
D,audio+linguistic+GazexSpeaking_sel,QDA,dyad_04,4,valence|word_count|speech_ratio|No_G_SI
D,audio+linguistic+GazexSpeaking_sel,QDA,dyad_11,9,dominance|valence|segment_count|word_count|question_ratio|speech_ratio|blink_durations|G_OnSpeaker|No_G_SI
D,audio+linguistic+GazexSpeaking_sel,QDA,dyad_06,4,word_count|speech_ratio|blink_durations|No_G_SI
D,audio+linguistic+GazexSpeaking_sel,QDA,dyad_02,10,dominance|valence|word_count|question_ratio|speech_ratio|mean_segment_duration_s|BPM|blink_durations|No_G_OnSpeaker|No_G_SI
D,audio+linguistic+GazexSpeaking_sel,QDA,dyad_10,7,valence|segment_count|word_count|speech_ratio|blink_durations|G_OnSpeaker|No_G_SI
D,audio+linguistic+GazexSpeaking_sel,SVM,dyad_03,4,word_count|speech_ratio|blink_durations|No_G_SI
D,audio+linguistic+GazexSpeaking_sel,SVM,dyad_07,6,valence|word_count|question_ratio|speech_ratio|blink_durations|No_G_SI
D,audio+linguistic+GazexSpeaking_sel,SVM,dyad_05,10,dominance|valence|segment_count|word_count|question_ratio|speech_ratio|unfinished_ratio|blink_durations|G_OnSpeaker|No_G_SI
D,audio+linguistic+GazexSpeaking_sel,SVM,dyad_04,2,word_count|No_G_SI
D,audio+linguistic+GazexSpeaking_sel,SVM,dyad_11,15,arousal|dominance|valence|segment_count|word_count|question_ratio|speech_ratio|mean_segment_duration_s|unfinished_ratio|BPM|blink_durations|G_OnSpeaker|No_G_OnSpeaker|G_SI|No_G_SI
D,audio+linguistic+GazexSpeaking_sel,SVM,dyad_06,13,dominance|valence|segment_count|word_count|question_ratio|speech_ratio|mean_segment_duration_s|unfinished_ratio|BPM|blink_durations|G_OnSpeaker|No_G_OnSpeaker|No_G_SI
D,audio+linguistic+GazexSpeaking_sel,SVM,dyad_02,12,arousal|dominance|valence|word_count|question_ratio|speech_ratio|mean_segment_duration_s|BPM|blink_durations|G_OnSpeaker|No_G_OnSpeaker|No_G_SI
D,audio+linguistic+GazexSpeaking_sel,SVM,dyad_10,12,arousal|dominance|valence|segment_count|word_count|question_ratio|speech_ratio|BPM|blink_durations|G_OnSpeaker|No_G_OnSpeaker|No_G_SI
D,audio+linguistic+GazexSpeaking_sel,LogReg,dyad_03,4,word_count|speech_ratio|blink_durations|No_G_SI
D,audio+linguistic+GazexSpeaking_sel,LogReg,dyad_07,15,arousal|dominance|valence|segment_count|word_count|avg_word_length|question_ratio|speech_ratio|mean_segment_duration_s|unfinished_ratio|BPM|blink_durations|G_OnSpeaker|No_G_OnSpeaker|No_G_SI
D,audio+linguistic+GazexSpeaking_sel,LogReg,dyad_05,2,word_count|No_G_SI
D,audio+linguistic+GazexSpeaking_sel,LogReg,dyad_04,4,valence|word_count|speech_ratio|No_G_SI
D,audio+linguistic+GazexSpeaking_sel,LogReg,dyad_11,14,arousal|dominance|valence|segment_count|word_count|question_ratio|speech_ratio|mean_segment_duration_s|unfinished_ratio|BPM|blink_durations|G_OnSpeaker|No_G_OnSpeaker|No_G_SI
