split,detector,n,n_feat,rank,model,acc_mean,acc_std,majority,perm_p,t_maj,p_ttest_maj,cohen_d_maj
D,audio+linguistic+GazexSpeaking_sel,79,16,2,SVM,0.749,0.135,0.595,,3.221,0.0146,1.139
All,sentemb_pca,185,512,1,LogReg,0.683,0.219,0.519,0.0066,3.365,0.0032,0.753
All,sentemb_pca,185,512,2,NB,0.612,0.235,0.519,,1.766,0.0934,0.395
T,audio+linguistic_sel,106,10,1,NB,0.760,0.300,0.538,0.0033,2.570,0.0260,0.742
T,audio+linguistic_sel,106,10,2,QDA,0.748,0.245,0.538,,2.975,0.0126,0.859
T,linguistic+GazexSpeaking_sel,106,13,1,NB,0.746,0.308,0.538,0.0033,2.345,0.0388,0.677
T,linguistic+GazexSpeaking_sel,106,13,2,QDA,0.742,0.252,0.538,,2.810,0.0170,0.811
All,linguistic_sel,185,7,1,QDA,0.769,0.204,0.519,0.0033,5.503,0.0000,1.230
All,linguistic_sel,185,7,2,SVM,0.764,0.217,0.519,,5.064,0.0001,1.132
T,audio+linguistic+GazexSpeaking_sel,106,16,1,NB,0.754,0.298,0.538,0.0033,2.506,0.0292,0.724
T,audio+linguistic+GazexSpeaking_sel,106,16,2,SVM,0.718,0.292,0.538,,2.131,0.0564,0.615
All,emow2v_pca,185,1024,1,SVM,0.651,0.285,0.519,0.0033,2.068,0.0525,0.463
All,emow2v_pca,185,1024,2,QDA,0.647,0.197,0.519,,2.904,0.0091,0.649
All,audio+linguistic_sel,185,10,1,QDA,0.691,0.212,0.519,0.0033,3.624,0.0018,0.810
All,audio+linguistic_sel,185,10,2,SVM,0.689,0.251,0.519,,3.021,0.0070,0.675
All,linguistic+GazexSpeaking_sel,185,13,1,QDA,0.764,0.205,0.519,0.0033,5.346,0.0000,1.195
All,linguistic+GazexSpeaking_sel,185,13,2,NB,0.761,0.254,0.519,,4.261,0.0004,0.953
All,audio+linguistic+GazexSpeaking_sel,185,16,1,QDA,0.755,0.208,0.519,0.0033,5.060,0.0001,1.132
All,audio+linguistic+GazexSpeaking_sel,185,16,2,NB,0.724,0.240,0.519,,3.817,0.0012,0.853
D,openSMILE_sel,79,88,1,LogReg,0.692,0.169,0.595,0.2226,1.628,0.1476,0.576
D,openSMILE_sel,79,88,2,QDA,0.598,0.304,0.595,,0.027,0.9791,0.010
T,openSMILE_sel,106,88,1,LogReg,0.602,0.212,0.538,0.0133,1.051,0.3157,0.303
T,openSMILE_sel,106,88,2,SVM,0.599,0.253,0.538,,0.844,0.4165,0.244
All,openSMILE_sel,185,88,1,NB,0.602,0.213,0.519,0.0033,1.742,0.0977,0.390
All,openSMILE_sel,185,88,2,SVM,0.579,0.260,0.519,,1.036,0.3130,0.232
