split,detector,model,fold,test_group,accuracy
All,AIxVR,SVM,8,triad_14,0.400000
All,AIxVR,SVM,9,dyad_06,0.777778
All,AIxVR,SVM,10,dyad_11,0.555556
All,AIxVR,SVM,11,dyad_02,0.333333
All,AIxVR,SVM,12,triad_07,0.875000
All,AIxVR,SVM,13,triad_09,0.625000
All,AIxVR,SVM,14,triad_12,0.500000
All,AIxVR,SVM,15,triad_02,0.125000
All,AIxVR,SVM,16,dyad_10,0.428571
All,AIxVR,SVM,17,triad_08,0.857143
All,AIxVR,SVM,18,triad_10,0.857143
All,AIxVR,SVM,19,triad_11,0.750000
All,AIxVR,LogReg,0,triad_01,0.615385
All,AIxVR,LogReg,1,dyad_03,0.833333
All,AIxVR,LogReg,2,dyad_04,0.818182
All,AIxVR,LogReg,3,dyad_05,0.454545
All,AIxVR,LogReg,4,dyad_07,0.818182
All,AIxVR,LogReg,5,triad_06,0.181818
All,AIxVR,LogReg,6,triad_05,0.545455
All,AIxVR,LogReg,7,triad_13,0.545455
All,AIxVR,LogReg,8,triad_14,0.400000
All,AIxVR,LogReg,9,dyad_06,0.777778
All,AIxVR,LogReg,10,dyad_11,0.666667
All,AIxVR,LogReg,11,dyad_02,0.222222
All,AIxVR,LogReg,12,triad_07,0.875000
All,AIxVR,LogReg,13,triad_09,0.875000
All,AIxVR,LogReg,14,triad_12,0.500000
All,AIxVR,LogReg,15,triad_02,0.125000
All,AIxVR,LogReg,16,dyad_10,0.571429
All,AIxVR,LogReg,17,triad_08,0.857143
All,AIxVR,LogReg,18,triad_10,0.857143
All,AIxVR,LogReg,19,triad_11,0.750000
All,AIxVR,NB,0,triad_01,0.769231
All,AIxVR,NB,1,dyad_03,0.833333
All,AIxVR,NB,2,dyad_04,0.818182
All,AIxVR,NB,3,dyad_05,0.454545
All,AIxVR,NB,4,dyad_07,0.818182
All,AIxVR,NB,5,triad_06,0.181818
All,AIxVR,NB,6,triad_05,0.545455
All,AIxVR,NB,7,triad_13,0.363636
All,AIxVR,NB,8,triad_14,0.400000
All,AIxVR,NB,9,dyad_06,0.777778
All,AIxVR,NB,10,dyad_11,0.555556
All,AIxVR,NB,11,dyad_02,0.444444
All,AIxVR,NB,12,triad_07,0.875000
All,AIxVR,NB,13,triad_09,0.750000
All,AIxVR,NB,14,triad_12,0.500000
All,AIxVR,NB,15,triad_02,0.125000
All,AIxVR,NB,16,dyad_10,0.571429
All,AIxVR,NB,17,triad_08,0.857143
All,AIxVR,NB,18,triad_10,0.857143
All,AIxVR,NB,19,triad_11,1.000000
All,linguistic+GazexSpeaking,QDA,0,triad_01,0.846154
All,linguistic+GazexSpeaking,QDA,1,dyad_03,0.833333
All,linguistic+GazexSpeaking,QDA,2,dyad_04,0.818182
All,linguistic+GazexSpeaking,QDA,3,dyad_05,0.727273
All,linguistic+GazexSpeaking,QDA,4,dyad_07,0.636364
