seconds_interaction_window;group_type ;grup_formation; group_name;TE;MG;1d_DG;BPM;blink_durations;0_D1;1_D1;2_D1_same;2_D1_different;2_D1;3_D1;MG_D1;MG_D0
240;triad;F;triad_09;0.58476796;0.160665761;0.245810688;24;211.3315258;0.2265625;0.506453804;0.067934783;0.038383152;0.106317935;0;0.018342391;0.14232337
300;triad;F;triad_09;0.492900884;0.248248248;0.261038817;21;207.0985195;0.190523857;0.408408408;0.06339673;0.088421755;0.151818485;0.001001001;0.068068068;0.18018018
360;triad;F;triad_09;0.72263427;0.114907873;0.261306533;25.5;209.7063492;0.267001675;0.473031826;0.021105528;0.12160804;0.142713568;0.002345059;0.018425461;0.096482412
420;triad;F;triad_09;0.661624063;0.070949185;0.307126878;14.5;194.6957672;0.246404602;0.491850431;0.028763183;0.162032598;0.190795781;0;0.047938639;0.023010547
0;triad;F;triad_10;0.352987305;0.016170213;0.119716312;2;138.1666667;0.624964539;0.35858156;0;0.000283688;0.000283688;0;0;0.016170213
60;triad;F;triad_10;0.601283467;0.019253555;0.155608215;15;170.6483157;0.592120853;0.317831754;0.028436019;0.04235782;0.070793839;0;0.007405213;0.011848341
120;triad;F;triad_10;0.260395194;0.014800335;0.21269664;16.5;170.4017857;0.432839989;0.467467188;0.001117006;0.083216978;0.084333984;0.000558503;0.000279252;0.014521083
180;triad;F;triad_10;0.394837422;0.016292135;0.154494382;19.5;177.9587596;0.576685393;0.350561798;0.004775281;0.051685393;0.056460674;0;0;0.016292135
240;triad;F;triad_10;0.35745648;0.021883098;0.172953258;18;177.4015922;0.530953067;0.381514541;0.027353873;0.03455226;0.061906133;0.003743162;0.002303484;0.019579614
300;triad;F;triad_10;0.213256003;0.037703513;0.180805484;13.5;182.8513889;0.487289346;0.414167381;0.044558698;0.016281063;0.060839761;0;0.006569552;0.031133962
360;triad;F;triad_10;0.005879118;0.005743001;0.140464226;19;148.953159;0.611629576;0.343862168;0.008973439;0.029791816;0.038765255;0;0;0.005743001
0;triad;L;triad_11;0.387866522;0.064724919;0.507551241;10;155.1069024;0.042394822;0.33236246;0.403559871;0.134951456;0.538511327;0.022006472;0.047249191;0.017475728
60;triad;L;triad_11;0.453189201;0.006824829;0.510995558;28.5;164.5810826;0.040948976;0.396490088;0.500487488;0.036724082;0.53721157;0.018524537;0.006499838;0.000324992
120;triad;L;triad_11;0.447798357;0.036434613;0.424636738;24.5;180.7415825;0.02732596;0.617436565;0.288874431;0.029928432;0.318802863;0;0.018867925;0.017566688
180;triad;L;triad_11;0.354539077;0.056466302;0.35701275;25;181.141358;0.191621129;0.4571949;0.264480874;0.030236794;0.294717668;0;0.024408015;0.032058288
0;triad;L;triad_12;0.276717499;0.017214743;0.115500625;10.5;191.4555556;0.63738689;0.344294858;0;0.001103509;0.001103509;0;0;0.017214743
60;triad;L;triad_12;0.4568306;0;0.070600323;24;186.003003;0.788199031;0.211800969;0;0;0;0;0;0
120;triad;L;triad_12;0.307531907;0.002203614;0.131776113;18;193.8636128;0.61546937;0.371529308;0.010797708;0;0.010797708;0;0.002203614;0
180;triad;L;triad_12;0.48117026;0.006320837;0.138186574;26.5;197.4733169;0.593068875;0.386660854;0.003269398;0.010680035;0.013949433;0;0;0.006320837
240;triad;L;triad_12;0.289183274;0.026878167;0.180436219;21.5;195.775463;0.453624146;0.497686715;0.002864067;0.018946905;0.021810972;0;0;0.026878167
300;triad;L;triad_12;0.651913821;0.006688963;0.169305091;23.5;206.4681254;0.524414716;0.429877369;0.001337793;0.037681159;0.039018952;0;0;0.006688963
360;triad;L;triad_12;0.605231404;0.011685393;0.059026217;29;194.2063492;0.816629213;0.166292135;0;0.005393258;0.005393258;0;0;0.011685393
420;triad;L;triad_12;0.66842457;0.008669431;0.0537756;27.5;203.5956625;0.835657746;0.150018847;0.001507727;0.00414625;0.005653977;0;0;0.008669431
0;triad;F;triad_13;0.161841157;0.060357901;0.227681731;11.5;150.7979798;0.343342433;0.520473157;0.016985138;0.05429178;0.071276918;0.004549591;0.006369427;0.053988474
60;triad;F;triad_13;0.53171539;0.066343532;0.206301121;30.5;163.0367332;0.336564677;0.575280218;0;0.021811572;0.021811572;0;0;0.066343532
120;triad;F;triad_13;0.673523689;0.075135788;0.144035405;15.5;145.2161836;0.513277007;0.391068196;0;0.02051901;0.02051901;0;0;0.075135788
180;triad;F;triad_13;0.644433764;0.033393502;0.24107501;31;168.8923611;0.383273165;0.443742479;0.002707581;0.136883273;0.139590854;0;0.000300842;0.033092659
240;triad;F;triad_13;0.5716859;0.024736048;0.152438411;29;169.0296474;0.525490196;0.442232278;0;0.007541478;0.007541478;0;0;0.024736048
300;triad;F;triad_13;0.530896623;0.136610374;0.192501005;25;159.931746;0.335946924;0.477382388;0.000301568;0.049758745;0.050060313;0;0;0.136610374
360;triad;F;triad_13;0.636354691;0.059178744;0.224738325;19;163.3924951;0.371678744;0.464673913;0.025362319;0.07910628;0.104468599;0;0.000603865;0.058574879
420;triad;F;triad_13;0.505032049;0.120415648;0.21505705;31;157.9015236;0.336491443;0.443765281;0.009474328;0.089853301;0.099327629;0;0.002750611;0.117665037
480;triad;F;triad_13;0.582104493;0.143029572;0.233755784;21.5;153.097672;0.249547375;0.523838262;0.002414001;0.073928787;0.076342788;0.007242004;0.003017502;0.14001207
540;triad;F;triad_13;0.669605968;0.149924127;0.203844208;24;156.2375362;0.315326252;0.459180577;0.010925645;0.064036419;0.074962064;0.00060698;0.00060698;0.149317147
600;triad;F;triad_13;0.428755748;0.045990566;0.204009434;14.5;161.8466718;0.432783019;0.430424528;0.012971698;0.077830189;0.090801887;0;0;0.045990566
0;triad;L;triad_14;0.081788434;0;0.101523323;2;195.5;0.697700823;0.300028385;0.002270792;0;0.002270792;0;0;0
60;triad;L;triad_14;0.361841563;0;0.011536643;17.5;173.12242;0.965390071;0.034609929;0;0;0;0;0;0
120;triad;L;triad_14;0.537486741;0;0.009650866;20;178.6020887;0.971047403;0.028952597;0;0;0;0;0;0
180;triad;L;triad_14;0.492284807;0;0.00964539;14;167.7013889;0.97106383;0.02893617;0;0;0;0;0;0
240;triad;L;triad_14;0.511364672;0;0.007655231;15;162.3962963;0.977034307;0.022965693;0;0;0;0;0;0
300;triad;L;triad_14;0.589567445;0;0.018240242;23;173.7994496;0.945279274;0.054720726;0;0;0;0;0;0
360;triad;L;triad_14;0.541702143;0;0.033276612;25.5;182.8719455;0.900170164;0.099829836;0;0;0;0;0;0
420;triad;L;triad_14;0.630967636;0;0.010496454;17.5;181.112037;0.968510638;0.031489362;0;0;0;0;0;0
480;triad;L;triad_14;0.384927364;0;0;18;164.2934524;1;0;0;0;0;0;0;0
540;triad;L;triad_14;0.631268476;0;0;15;177.0374801;1;0;0;0;0;0;0;0
