seconds_interaction_window,triad_01_MG_P1P2,triad_02_MG_P1P2,triad_03_MG_P1P2,triad_04_MG_P1P2,triad_05_MG_P1P2,triad_06_MG_P1P2,triad_07_MG_P1P2,triad_08_MG_P1P2,triad_09_MG_P1P2,triad_10_MG_P1P2,triad_11_MG_P1P2,triad_14_MG_P1P2,triad_12_MG_P1P2,triad_13_MG_P1P2
90.0,0.0,0.0,0.0,0.0,0.03333333333333333,0.027777777777777776,0.0,0.5760869565217391,0.34782608695652173,0.0,0.0392156862745098,0.0,0.0,0.0
95.0,0.0,0.0654911838790932,0.0,0.0,0.0,0.0,0.0,0.740072202166065,0.766798418972332,0.03103448275862069,0.0,0.0,0.0,0.13818181818181818
100.0,0.0,0.07012987012987013,0.0,0.0,0.0,0.0,0.0,0.3607142857142857,0.4624505928853755,0.0,0.03088803088803089,0.0,0.0,0.02197802197802198
105.0,0.06097560975609756,0.0,0.0,0.13958810068649885,0.0,0.016233766233766232,0.0,0.0948905109489051,0.5870445344129555,0.0,0.003968253968253968,0.0,0.0,0.0035842293906810036
110.0,0.2614213197969543,0.0,0.0,0.11210762331838565,0.0,0.0,0.08959537572254335,0.0,0.6463414634146342,0.0,0.0,0.0,0.0,0.0
115.0,0.15853658536585366,0.0,0.0,0.2071269487750557,0.07407407407407407,0.006535947712418301,0.18361581920903955,0.0,0.0,0.013245033112582781,0.0,0.0,0.0,0.043010752688172046
120.0,0.002531645569620253,0.0,0.0,0.010822510822510822,0.0,0.0,0.0,0.0,0.008130081300813009,0.0,0.33858267716535434,0.0,0.0,0.046762589928057555
125.0,0.09701492537313433,0.0,0.0,0.0,0.2834890965732087,0.21753246753246752,0.0603448275862069,0.0,0.0,0.0,0.0,0.0,0.0,0.1003584229390681
130.0,0.0,0.05303030303030303,0.0,0.00881057268722467,0.012307692307692308,0.0,0.0,0.1276595744680851,0.17916666666666667,0.07457627118644068,0.03125,0.0,0.0,0.07526881720430108
135.0,0.3040380047505938,0.0,0.0,0.054945054945054944,0.17846153846153845,0.3053691275167785,0.0,0.2807017543859649,0.04878048780487805,0.0,0.0,0.0,0.0,0.0
140.0,0.03233830845771144,0.0,0.0,0.04405286343612335,0.08814589665653495,0.0,0.0,0.0,0.0,0.0,0.01937984496124031,0.0,0.0,0.4064748201438849
145.0,0.0,0.0,0.0,0.04194260485651214,0.0,0.0,0.0,0.0,0.08677685950413223,0.0,0.027777777777777776,0.0,0.0,0.05734767025089606
150.0,0.14705882352941177,0.0,0.1523545706371191,0.0,0.09696969696969697,0.023809523809523808,0.0,0.0,0.2532188841201717,0.0,0.023529411764705882,0.0,0.0,0.17153284671532848
155.0,0.0,0.0,0.09482758620689655,0.0,0.0,0.0,0.0,0.0,0.48582995951417,0.0,0.0,0.0,0.026595744680851064,0.039711191335740074
160.0,0.0,0.0,0.0,0.0,0.26959247648902823,0.016891891891891893,0.023121387283236993,0.0,0.07569721115537849,0.04152249134948097,0.0,0.0,0.0,0.0
165.0,0.0,0.0,0.0,0.0045045045045045045,0.0,0.13087248322147652,0.0,0.0,0.324,0.020905923344947733,0.0,0.0,0.0,0.0
