seconds_interaction_window,dyad_01_MG_P1P2,dyad_02_MG_P1P2,dyad_03_MG_P1P2,dyad_04_MG_P1P2,dyad_05_MG_P1P2,dyad_06_MG_P1P2,dyad_07_MG_P1P2,dyad_08_MG_P1P2,dyad_09_MG_P1P2,dyad_10_MG_P1P2,dyad_11_MG_P1P2,triad_01_MG_P1P2,triad_01_MG_P1P3,triad_01_MG_P2P3,triad_03_MG_P1P2,triad_03_MG_P1P3,triad_03_MG_P2P3,triad_04_MG_P1P2,triad_04_MG_P1P3,triad_04_MG_P2P3,triad_05_MG_P1P2,triad_05_MG_P1P3,triad_05_MG_P2P3,triad_06_MG_P1P2,triad_06_MG_P1P3,triad_06_MG_P2P3,triad_07_MG_P1P2,triad_07_MG_P1P3,triad_07_MG_P2P3,triad_08_MG_P1P2,triad_08_MG_P1P3,triad_08_MG_P2P3,triad_09_MG_P1P2,triad_09_MG_P1P3,triad_09_MG_P2P3,triad_02_MG_P1P2,triad_02_MG_P1P3,triad_02_MG_P2P3,triad_11_MG_P1P2,triad_11_MG_P1P3,triad_11_MG_P2P3,triad_10_MG_P1P2,triad_10_MG_P1P3,triad_10_MG_P2P3,triad_14_MG_P1P2,triad_14_MG_P1P3,triad_14_MG_P2P3,triad_12_MG_P1P2,triad_12_MG_P1P3,triad_12_MG_P2P3,triad_13_MG_P1P2,triad_13_MG_P1P3,triad_13_MG_P2P3
315.0,0.0,0.0,0.9326599326599326,0.2655367231638418,0.2663316582914573,0.47477744807121663,0.036931818181818184,0.0,0.0,0.0,0.0,0.0049504950495049506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14545454545454545,0.0,0.0,0.0,0.049019607843137254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24096385542168675,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019021739130434784,0.0,0.0,0.02909090909090909,0.0
320.0,0.0,0.0,1.0,0.3646723646723647,0.1650485436893204,0.21282798833819241,0.0,0.0,0.007905138339920948,0.0,0.0,0.020050125313283207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012711864406779662,0.0,0.0,0.0,,,,0.0,0.0,0.04152249134948097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
325.0,0.0,0.0,0.9220338983050848,0.25885558583106266,0.928395061728395,0.6331360946745562,0.0,0.0,0.06692913385826772,0.0,0.0,0.019464720194647202,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.3343558282208589,0.03067484662576687,0.0,0.0,0.03194888178913738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42857142857142855,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.050666666666666665,0.0,0.0,0.24074074074074073,0.0
330.0,0.0,0.0,0.8262295081967214,0.20454545454545456,0.007556675062972292,0.30116959064327486,0.3185595567867036,0.0,0.0625,0.012987012987012988,0.0,0.04645476772616137,0.009779951100244499,0.0,0.0,0.0,0.0,0.0645879732739421,0.0,0.0,0.025236593059936908,0.04416403785488959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4457831325301205,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10948905109489052,0.0
335.0,0.0,0.0,0.7450980392156863,0.3106267029972752,0.0,0.5014577259475219,0.3391304347826087,0.0,0.0,0.045081967213114756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.042222222222222223,0.0,0.0,0.21362229102167182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016194331983805668,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
340.0,0.0,0.0,0.8841059602649006,0.4807121661721068,0.4097560975609756,0.20760233918128654,0.0,0.0,0.0,0.0,0.0,0.0,0.0024449877750611247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15555555555555556,0.02857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011363636363636364,0.0,0.0,0.10384615384615385,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1935483870967742,0.0
345.0,0.0,0.0,0.6363636363636364,0.5983606557377049,0.7044334975369458,0.002890173410404624,0.0,0.0,0.0,0.025974025974025976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026058631921824105,0.0,0.0,0.0,0.0,0.0,0.0,0.1044776119402985,0.0,0.0,0.5875486381322957,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14855072463768115,0.0
350.0,0.0,0.0,0.6613924050632911,0.6675977653631285,0.9425,0.12244897959183673,0.0,0.0,0.0,0.004166666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2178988326848249,0.0,0.0,0.0,,,,0.0,0.0,0.020618556701030927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03180212014134275,0.0
355.0,0.0,0.0,0.5919732441471572,0.19559228650137742,0.7341772151898734,0.26666666666666666,0.0,0.0,0.020080321285140562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09345794392523364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28076923076923077,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.137546468401487,0.0
360.0,0.0,0.0,0.569078947368421,0.33884297520661155,0.7890625,0.47181008902077154,0.0,0.0,0.0,0.0,0.0,0.12406947890818859,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0030581039755351682,0.0,0.0,0.0,0.0231023102310231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01532567049808429,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
