seconds_interaction_window;group_type ;grup_formation; group_name;TE;MG;1d_DG;BPM;blink_durations
420;dyad;F;dyad_11;0.469772864;0;0.016956249;31.5;166.1110526
480;dyad;F;dyad_11;0.395185238;0.00460733;0.027120419;27;174.2260788
0;triad;F;triad_01;0.531460618;0.316038707;0.239242331;13;144.0321429
60;triad;F;triad_01;0.03241293;0.070911722;0.17662463;10.5;169.9444444
120;triad;F;triad_01;0.487230359;0.051229085;0.192866488;15;176.7007422
180;triad;F;triad_01;0.582341691;0.14679461;0.290322581;14;178.4930556
240;triad;F;triad_01;0.721270538;0.159860456;0.348313838;30;168.6790588
300;triad;F;triad_01;0.422127398;0.025420254;0.308528085;31;182.648578
360;triad;F;triad_01;0.321562011;0.103391572;0.338746146;18.5;178.2582071
420;triad;F;triad_01;0.023861353;0.086313194;0.160980956;9;142.9
480;triad;F;triad_01;0.024075404;0.13236481;0.343758407;17;177.6941176
540;triad;F;triad_01;0.026711386;0.05;0.248027211;14;148.6121693
600;triad;F;triad_01;0.638909527;0.250565727;0.243502709;27;174.5020757
660;triad;F;triad_01;0.657312852;0.30931677;0.282194617;28.5;165.2658042
720;triad;F;triad_01;0.326951146;0.091016548;0.175925926;19.5;170.8318479
0;triad;F;triad_02;0.041710144;0.007656316;0.138097264;5;169.7222222
60;triad;F;triad_02;0.591117258;0.032613299;0.116476069;19;195.7
120;triad;F;triad_02;0.744895935;0.004426644;0.07272344;24;171.611413
180;triad;F;triad_02;0.740450388;0.008465608;0.075908289;20;178.3968254
240;triad;F;triad_02;0.762820269;0.006785411;0.123268306;21;188.3405955
300;triad;F;triad_02;0.766686773;0.000831947;0.103230727;24;187.0962963
360;triad;F;triad_02;0.676769705;0.004009285;0.140324963;21.5;190.1192621
420;triad;F;triad_02;0.567710327;0.003607214;0.054375418;17.5;182.7954416
0;triad;F;triad_05;0.317317141;0.085040984;0.299351093;4.5;150.3055556
60;triad;F;triad_05;0.297036578;0.02803262;0.346330275;13.5;168.5889987
120;triad;F;triad_05;0.318884923;0.076530612;0.372108844;19.5;177.2839685
180;triad;F;triad_05;0.550812286;0.046620047;0.244927912;19;178.680518
240;triad;F;triad_05;0.507038268;0.021119593;0.147667515;16.5;168.7354342
300;triad;F;triad_05;0.616258462;0.106893881;0.311988984;12;164.156952
360;triad;F;triad_05;0.658102317;0.030028475;0.40037967;13;168.531746
420;triad;F;triad_05;0.455995785;0.02412731;0.264801506;12.5;168.1772876
480;triad;F;triad_05;0.397959087;0.018970894;0.302581428;16.5;159.7083333
540;triad;F;triad_05;0.294199409;0.102140831;0.173931734;14;166.911746
600;triad;F;triad_05;0.187768996;0.007009346;0.16536864;20.5;173.3554293
0;triad;F;triad_06;0.168137888;0.013274336;0.268897493;7.5;194
60;triad;F;triad_06;0.568461357;0.007675439;0.179002193;12;183.7862319
120;triad;F;triad_06;0.548642562;0.07099279;0.286282122;8;171.8680556
180;triad;F;triad_06;0.690170601;0.007690195;0.188959077;9.5;184.2506313
240;triad;F;triad_06;0.700744952;0.121046892;0.146401309;5;173.6388889
300;triad;F;triad_06;0.635175782;0.052401747;0.175309316;13.5;182.0064394
360;triad;F;triad_06;0.573274636;0.027599665;0.175634235;13;182.6465201
420;triad;F;triad_06;0.628198099;0.008871638;0.129193235;15.5;189.980859
480;triad;F;triad_06;0.691869445;0.060354374;0.195921004;11.5;176.3943452
540;triad;F;triad_06;0.396646428;0.00748337;0.148281596;11.5;180.6961279
600;triad;F;triad_06;0.190080777;0.021723389;0.069032102;7;174.8728571
0;triad;L;triad_07;0.000777261;0.006794467;0.084445523;7;189.3463203
60;triad;L;triad_07;0.255655193;0.022922636;0.081423114;14.5;189.1284314
120;triad;L;triad_07;0.381370683;0.006982904;0.058672446;11.5;175.025641
180;triad;L;triad_07;0.183258866;0;0.053150553;12;173.567366
240;triad;L;triad_07;0.519380851;0;0.036530775;11.5;199.1282051
300;triad;L;triad_07;0.152042432;0;0.001907032;6.5;182.6555556
360;triad;L;triad_07;0.602591935;0;0.025281804;8.5;208.3904762
420;triad;L;triad_07;0.525178169;0;0.019798767;1.5;168.6666667
0;triad;F;triad_08;0.026845977;0.055504727;0.166514181;18.5;199.3779762
60;triad;F;triad_08;0.155905839;0.206938901;0.303141951;31;190.9802632
120;triad;F;triad_08;0.380647116;0.035312024;0.101268392;15;165.8905408
180;triad;F;triad_08;0.005837927;0.006146281;0.097725876;12.5;166.0912698
240;triad;F;triad_08;0.005594261;0.044090631;0.133292509;12;190.2952381
300;triad;F;triad_08;0.039101694;0.00962434;0.073786609;8.5;188.7724868
360;triad;F;triad_08;0.007459758;0;0.033301916;7;165.7388889
0;triad;F;triad_09;0.01298815;0.241023936;0.217974291;9;173.702381
60;triad;F;triad_09;0.08638063;0.342438374;0.204308239;17;193.7385396
120;triad;F;triad_09;0.508913279;0.119879113;0.231027535;17;206.7716706
180;triad;F;triad_09;0.645430737;0.253925827;0.264394699;21;189.3411435
240;triad;F;triad_09;0.58476796;0.160665761;0.245810688;24;211.3315258
300;triad;F;triad_09;0.492900884;0.248248248;0.261038817;21;207.0985195
360;triad;F;triad_09;0.72263427;0.114907873;0.261306533;25.5;209.7063492
420;triad;F;triad_09;0.661624063;0.070949185;0.307126878;14.5;194.6957672
0;triad;F;triad_10;0.352987305;0.016170213;0.119716312;2;138.1666667
60;triad;F;triad_10;0.601283467;0.019253555;0.155608215;15;170.6483157
120;triad;F;triad_10;0.260395194;0.014800335;0.21269664;16.5;170.4017857
180;triad;F;triad_10;0.394837422;0.016292135;0.154494382;19.5;177.9587596
240;triad;F;triad_10;0.35745648;0.021883098;0.172953258;18;177.4015922
300;triad;F;triad_10;0.213256003;0.037703513;0.180805484;13.5;182.8513889
360;triad;F;triad_10;0.005879118;0.005743001;0.140464226;19;148.953159
0;triad;L;triad_11;0.387866522;0.064724919;0.507551241;10;155.1069024
60;triad;L;triad_11;0.453189201;0.006824829;0.510995558;28.5;164.5810826
120;triad;L;triad_11;0.447798357;0.036434613;0.424636738;24.5;180.7415825
180;triad;L;triad_11;0.354539077;0.056466302;0.35701275;25;181.141358
0;triad;L;triad_12;0.276717499;0.017214743;0.115500625;10.5;191.4555556
60;triad;L;triad_12;0.4568306;0;0.070600323;24;186.003003
120;triad;L;triad_12;0.307531907;0.002203614;0.131776113;18;193.8636128
180;triad;L;triad_12;0.48117026;0.006320837;0.138186574;26.5;197.4733169
240;triad;L;triad_12;0.289183274;0.026878167;0.180436219;21.5;195.775463
300;triad;L;triad_12;0.651913821;0.006688963;0.169305091;23.5;206.4681254
360;triad;L;triad_12;0.605231404;0.011685393;0.059026217;29;194.2063492
420;triad;L;triad_12;0.66842457;0.008669431;0.0537756;27.5;203.5956625
0;triad;F;triad_13;0.161841157;0.060357901;0.227681731;11.5;150.7979798
60;triad;F;triad_13;0.53171539;0.066343532;0.206301121;30.5;163.0367332
120;triad;F;triad_13;0.673523689;0.075135788;0.144035405;15.5;145.2161836
180;triad;F;triad_13;0.644433764;0.033393502;0.24107501;31;168.8923611
240;triad;F;triad_13;0.5716859;0.024736048;0.152438411;29;169.0296474
300;triad;F;triad_13;0.530896623;0.136610374;0.192501005;25;159.931746
360;triad;F;triad_13;0.636354691;0.059178744;0.224738325;19;163.3924951
420;triad;F;triad_13;0.505032049;0.120415648;0.21505705;31;157.9015236
480;triad;F;triad_13;0.582104493;0.143029572;0.233755784;21.5;153.097672
540;triad;F;triad_13;0.669605968;0.149924127;0.203844208;24;156.2375362
600;triad;F;triad_13;0.428755748;0.045990566;0.204009434;14.5;161.8466718
0;triad;L;triad_14;0.081788434;0;0.101523323;2;195.5
60;triad;L;triad_14;0.361841563;0;0.011536643;17.5;173.12242
120;triad;L;triad_14;0.537486741;0;0.009650866;20;178.6020887
180;triad;L;triad_14;0.492284807;0;0.00964539;14;167.7013889
240;triad;L;triad_14;0.511364672;0;0.007655231;15;162.3962963
300;triad;L;triad_14;0.589567445;0;0.018240242;23;173.7994496
360;triad;L;triad_14;0.541702143;0;0.033276612;25.5;182.8719455
420;triad;L;triad_14;0.630967636;0;0.010496454;17.5;181.112037
480;triad;L;triad_14;0.384927364;0;0;18;164.2934524
540;triad;L;triad_14;0.631268476;0;0;15;177.0374801
