score,conf
0.5469638,0.5469638
0.4972821,0.4972821
0.5903813,0.5903813
0.55703557,0.55703557
0.55789477,0.55789477
0.57911503,0.57911503
0.58670694,0.58670694
0.5602039,0.5602039
0.5250515,0.5250515
0.5557736,0.5557736
0.5111758,0.5111758
0.5280072,0.5280072
0.49254182,0.49254182
0.46527022,0.46527022
0.42070514,0.42070514
0.39209825,0.39209825
0.51210254,0.51210254
0.5401389,0.5401389
0.48815325,0.48815325
0.48920628,0.48920628
0.540169,0.540169
0.58378434,0.58378434
0.52088755,0.52088755
0.6080751,0.6080751
0.48681366,0.48681366
0.53059405,0.53059405
0.5370323,0.5370323
0.6051738,0.6051738
0.585799,0.585799
0.48059598,0.48059598
0.49370182,0.49370182
0.59041286,0.59041286
0.55224425,0.55224425
0.46919084,0.46919084
0.49512118,0.49512118
0.48462793,0.48462793
0.47235113,0.47235113
0.5784767,0.5784767
0.48826808,0.48826808
0.54665846,0.54665846
0.5342775,0.5342775
0.58487326,0.58487326
0.49815205,0.49815205
0.578581,0.578581
0.5623887,0.5623887
0.5939406,0.5939406
0.603804,0.603804
0.63253224,0.63253224
0.5302664,0.5302664
0.5827052,0.5827052
0.57349426,0.57349426
0.5867858,0.5867858
0.57545346,0.57545346
0.53629106,0.53629106
0.5836091,0.5836091
0.5540013,0.5540013
0.5084668,0.5084668
0.5786436,0.5786436
0.57303816,0.57303816
0.5516394,0.5516394
0.5716598,0.5716598
0.52605975,0.52605975
0.57613236,0.57613236
0.57032365,0.57032365
0.57118624,0.57118624
0.5771199,0.5771199
0.5029226,0.5029226
0.58585966,0.58585966
0.5724439,0.5724439
0.56645983,0.56645983
0.52296954,0.52296954
0.58440435,0.58440435
0.42685616,0.42685616
0.3836268,0.3836268
0.38238415,0.38238415
0.42456424,0.42456424
0.5093857,0.5093857
0.4783173,0.4783173
0.47040913,0.47040913
0.4875419,0.4875419
0.43759635,0.43759635
0.4217314,0.4217314
0.47388494,0.47388494
0.46681055,0.46681055
0.49019012,0.49019012
0.5919157,0.5919157
0.5465748,0.5465748
0.58636683,0.58636683
0.5378218,0.5378218
0.5951349,0.5951349
0.6181017,0.6181017
0.5613527,0.5613527
0.48403105,0.48403105
0.42363757,0.42363757
0.4810406,0.4810406
0.5086774,0.5086774
0.5358236,0.5358236
0.48128682,0.48128682
0.4821357,0.4821357
0.478662,0.478662
0.53596234,0.53596234
0.54518706,0.54518706
0.48806515,0.48806515
0.41461834,0.41461834
0.42978352,0.42978352
0.4171321,0.4171321
0.44823375,0.44823375
0.45301706,0.45301706
