score,conf
0.44050446,0.44050446
0.4440968,0.4440968
0.5016419,0.5016419
0.5235091,0.5235091
0.5339647,0.5339647
0.51345336,0.51345336
0.48704877,0.48704877
0.49568006,0.49568006
0.5539839,0.5539839
0.47489434,0.47489434
0.5040804,0.5040804
0.5841808,0.5841808
0.5245686,0.5245686
0.54636115,0.54636115
0.5042234,0.5042234
0.49342644,0.49342644
0.4485191,0.4485191
0.5238476,0.5238476
0.51784754,0.51784754
0.55327636,0.55327636
0.48927128,0.48927128
0.42798504,0.42798504
0.52950805,0.52950805
0.48675373,0.48675373
0.52558285,0.52558285
0.49351415,0.49351415
0.5242556,0.5242556
0.4913096,0.4913096
0.48450902,0.48450902
0.45035645,0.45035645
0.49025932,0.49025932
0.47090518,0.47090518
0.5052601,0.5052601
0.50960076,0.50960076
0.56121576,0.56121576
0.44602072,0.44602072
0.4835166,0.4835166
0.53964317,0.53964317
0.48296273,0.48296273
0.53884584,0.53884584
0.50755596,0.50755596
0.54100245,0.54100245
0.5664257,0.5664257
0.5050443,0.5050443
0.49883512,0.49883512
0.4318407,0.4318407
0.47726405,0.47726405
0.46415773,0.46415773
0.51133305,0.51133305
0.5562123,0.5562123
0.5349341,0.5349341
0.53441745,0.53441745
0.51836056,0.51836056
0.53858435,0.53858435
0.50276685,0.50276685
0.5038392,0.5038392
0.53780186,0.53780186
0.53830785,0.53830785
0.5586106,0.5586106
0.5624614,0.5624614
0.5400521,0.5400521
0.409126,0.409126
0.38464502,0.38464502
0.38464502,0.38464502
0.38464502,0.38464502
0.38464502,0.38464502
0.44485334,0.44485334
0.4289764,0.4289764
0.5187872,0.5187872
0.51755637,0.51755637
0.520274,0.520274
0.46889505,0.46889505
0.5180276,0.5180276
0.53220266,0.53220266
0.483141,0.483141
0.47978157,0.47978157
0.45767465,0.45767465
0.41909048,0.41909048
0.5104775,0.5104775
0.5070095,0.5070095
0.49100694,0.49100694
0.5000383,0.5000383
0.49288744,0.49288744
0.5159181,0.5159181
0.5368197,0.5368197
0.47617224,0.47617224
0.5043628,0.5043628
0.4610016,0.4610016
0.50454307,0.50454307
0.4901766,0.4901766
0.4156095,0.4156095
0.4950632,0.4950632
0.5498011,0.5498011
0.4313315,0.4313315
0.3820729,0.3820729
0.47744387,0.47744387
0.4734793,0.4734793
0.45632294,0.45632294
0.5177251,0.5177251
0.50151795,0.50151795
0.47605062,0.47605062
0.41029245,0.41029245
0.43874046,0.43874046
0.46468627,0.46468627
0.48460644,0.48460644
0.4757992,0.4757992
0.5301706,0.5301706
0.47211596,0.47211596
0.5300532,0.5300532
0.4457183,0.4457183
0.46951348,0.46951348
0.5146357,0.5146357
0.5405873,0.5405873
0.47583523,0.47583523
0.44981524,0.44981524
0.41185087,0.41185087
0.38734823,0.38734823
0.47939882,0.47939882
0.48444897,0.48444897
0.4095356,0.4095356
0.45684186,0.45684186
0.4849675,0.4849675
0.51997924,0.51997924
0.49409074,0.49409074
0.5358623,0.5358623
0.5067851,0.5067851
0.5291595,0.5291595
0.47644526,0.47644526
0.43071997,0.43071997
0.52402747,0.52402747
0.550718,0.550718
0.55040354,0.55040354
0.53046554,0.53046554
0.53833,0.53833
0.56280684,0.56280684
0.45524332,0.45524332
0.48728216,0.48728216
0.4721958,0.4721958
0.48516023,0.48516023
0.46263546,0.46263546
0.45580563,0.45580563
0.5194264,0.5194264
0.51468766,0.51468766
0.48634186,0.48634186
0.4685214,0.4685214
0.47034746,0.47034746
0.4909919,0.4909919
0.489759,0.489759
0.51389927,0.51389927
0.46505398,0.46505398
0.56859493,0.56859493
0.50802755,0.50802755
0.43523738,0.43523738
0.4932017,0.4932017
0.51395637,0.51395637
0.50734615,0.50734615
0.47958338,0.47958338
0.51554304,0.51554304
0.42476222,0.42476222
0.5239328,0.5239328
0.46217325,0.46217325
0.46773943,0.46773943
0.5057833,0.5057833
0.5085529,0.5085529
0.48325115,0.48325115
0.49679595,0.49679595
0.5421823,0.5421823
0.55556566,0.55556566
0.4623397,0.4623397
0.49907014,0.49907014
0.46928304,0.46928304
0.4772847,0.4772847
0.42225316,0.42225316
0.5036599,0.5036599
0.50472754,0.50472754
0.47968224,0.47968224
0.48260862,0.48260862
0.49623322,0.49623322
0.5714695,0.5714695
0.5036994,0.5036994
0.48791054,0.48791054
0.5409967,0.5409967
0.5008336,0.5008336
0.44321123,0.44321123
0.55640584,0.55640584
0.4895625,0.4895625
0.48201892,0.48201892
0.49374068,0.49374068
0.48561975,0.48561975
0.518705,0.518705
0.5269625,0.5269625
0.492702,0.492702
0.5132209,0.5132209
0.551929,0.551929
0.54149246,0.54149246
0.5188421,0.5188421
0.5338728,0.5338728
0.5094474,0.5094474
0.55692846,0.55692846
0.46903354,0.46903354
0.49370047,0.49370047
0.46083856,0.46083856
0.38464502,0.38464502
0.38464502,0.38464502
0.43296272,0.43296272
0.48543355,0.48543355
0.49144226,0.49144226
0.5197711,0.5197711
0.56034696,0.56034696
0.48243627,0.48243627
0.51682115,0.51682115
0.5753868,0.5753868
0.53376675,0.53376675
0.47888273,0.47888273
0.5164438,0.5164438
0.55871487,0.55871487
0.5369287,0.5369287
0.49516785,0.49516785
0.5617508,0.5617508
0.47790468,0.47790468
0.5147156,0.5147156
0.5063398,0.5063398
0.4771368,0.4771368
0.49259853,0.49259853
0.4938521,0.4938521
0.5052312,0.5052312
0.5470069,0.5470069
0.5595266,0.5595266
0.53620905,0.53620905
0.53970283,0.53970283
0.47724092,0.47724092
0.4864051,0.4864051
0.514105,0.514105
0.45749596,0.45749596
0.46782035,0.46782035
0.5084748,0.5084748
0.501009,0.501009
0.51098007,0.51098007
0.5611424,0.5611424
0.5560869,0.5560869
0.5017261,0.5017261
0.55575067,0.55575067
0.47968784,0.47968784
0.47313192,0.47313192
0.38464502,0.38464502
0.38464502,0.38464502
0.38464502,0.38464502
0.38464502,0.38464502
0.38464502,0.38464502
0.38464502,0.38464502
0.38464502,0.38464502
0.38464502,0.38464502
0.38464502,0.38464502
0.38464502,0.38464502
0.38464502,0.38464502
0.38464502,0.38464502
0.38464502,0.38464502
0.38464502,0.38464502
0.38464502,0.38464502
0.41790867,0.41790867
0.5219405,0.5219405
0.48754504,0.48754504
0.51064086,0.51064086
0.5446328,0.5446328
0.5506729,0.5506729
0.55013704,0.55013704
0.48823196,0.48823196
0.5168778,0.5168778
0.50654423,0.50654423
0.53324896,0.53324896
0.54124886,0.54124886
0.5694219,0.5694219
0.5404449,0.5404449
0.51647806,0.51647806
0.5621283,0.5621283
0.50892603,0.50892603
0.517744,0.517744
0.533048,0.533048
0.52465326,0.52465326
0.47391656,0.47391656
0.4483469,0.4483469
0.4851456,0.4851456
0.4564691,0.4564691
0.42235813,0.42235813
0.5387137,0.5387137
0.5003159,0.5003159
0.53559303,0.53559303
0.50765985,0.50765985
0.50521356,0.50521356
0.49127442,0.49127442
0.462822,0.462822
0.49228603,0.49228603
0.43372217,0.43372217
0.46349373,0.46349373
0.4832041,0.4832041
0.47509566,0.47509566
0.46850184,0.46850184
0.50839776,0.50839776
0.51352453,0.51352453
0.46373108,0.46373108
0.48546863,0.48546863
0.47116682,0.47116682
