Group;start_interaction;end_interaction;Start Recording;End Recording;Recording Duration;Link to Video;Valid for Blinks?;Valid for gaze?;P Flying;Which Flying ;Group Formation;TODO;Name in Nova;interrater agreement - Cronbach's alpha (Nova);Annotation Freq - Laura:Helen;Notes
DYAD_2024_06_14_Seminar_Wue_Session_3_Group_5_TS;2024-06-14 15:36:05.000;2024-06-14 15:42:50.000;2024-06-14 15:33:07.624000;2024-06-14 15:42:51.464;583.84;2024_11_20_DYAD_2024_06_14_Seminar_Wue_Session_3_Group_5 _NTPts_2024-06-14__13-33-08.576_trim.mp4;1;0;;;;added to nova folder;recording_dyad_10;0,551;60:90;They are fooling around a lot with their Avatars and the virtual Screens. On top they are only talking about the task a short time and quickly switching to Soccer talks.
DYAD_2024_11_04_Seminar_Mun_Session_1_Group_2;;;2024-11-04 17:05:32.730000;2024-11-04 17:15:12.288;579.558;2024_12_02_DYAD_2024_11_04_Seminar_Mun_Session_1_Group_2_NTPts_2024-11-04__16-05-33.315.mp4;;;;;;"exported; added to nova folder";recording_dyad_11;0,842;60:90;We don't seem to have a group_features file for this group?? How was this included in the blink calculations?
TRIAD_2023_10_23_Seminar_Munich_Session_1_Group_1_TS;2023-10-23 16:02:22.000;2023-10-23 16:14:43.000;2023-10-23 16:02:02.820000;2023-10-23 16:18:09.899;967.079;2024_02_26_TRIAD_2023_10_23_Seminar_Munich_Session_1_Group_1_NTPts_2023-10-23__14-02-03.820_trim.mp4;1;1;;;;added to nova folder;recording_triad_01;0,901;90:90;People look at the floor a lot, could be beacause there is some UI Control tho.
TRIAD_2023_10_30_Seminar_Munich_No_VAD;2023-10-30 16:08:39.272;2023-10-30 16:16:11.000;2023-10-30 16:08:32.033000;2023-10-30 16:20:11.911;699.878;2024_02_22_TRIAD_2023_10_30_Seminar_Munich_No_VAD_NTPts_2023-10-30__15-08-39.272.mp4;1;0;;;F;added to nova folder;recording_triad_02;0,748;90:90;
TRIAD_2023_12_19_Seminar_Wue_Session_2_Group_1_TS;2023-12-19 11:27:50.000;2023-12-19 11:38:00.000;2023-12-19 11:27:13.907000;2023-12-19 11:39:24.726;730.819;2024_11_22_TRIAD_2023_12_19_Seminar_Wue_Session_2_Group_1_NTPts_2023-12-19__10-27-14.434.mp4;1;0;;;;"check if the video used for TS is synced; synced, confirmed by laura; added to nova folder";recording_triad_03;"for some reason this is 0; to check out";90:90;The Participant in red is floating the whole time. I dont know if the eye data can still be used
TRIAD_2023_12_19_Seminar_Wue_Session_3_Group_1_TS;2023-12-19 13:26:35.000;2023-12-19 13:39:14.000;2023-12-19 13:26:13.876000;2023-12-19 13:39:14.293;780.417;2024_02_22_TRIAD_2023_12_19_Seminar_Wue_Session_3_Group_1_NTPts_2023-12-19__12-26-14.426.mp4;1;1;1;Red;F;"synced, confirmed by laura; added to nova folder";recording_triad_04;0,889;90:90;The Participant in red is stuck  in the floor the whole time. Seems like they look at each other despite that
TRIAD_2024_05_07_Seminar_Wue_Session_2_Group_2_TS;2024-05-07 13:16:50.000;2024-05-07 13:27:30.000;2024-05-07 13:16:10.754000;2024-05-07 13:16:10.754000;900.542;2024_11_13_TRIAD_2024_05_07_Seminar_Wue_Session_2_Group_2_NTPts_2024-05-07__11-16-11.820.mp4;1;1;0;;F;added to nova folder;recording_triad_05;0,458;60:90;In the end they complain a lot about how uncomfertable the headset is.
TRIAD_2024_05_07_Seminar_Wue_Session_2_Group_4_TS;2024-05-07 13:17:17.000;2024-05-07 13:27:40.000;2024-05-07 13:16:10.806000;2024-05-07 13:31:11.296;900.49;2024_11_13_TRIAD_2024_05_07_Seminar_Wue_Session_2_Group_4 _NTPts_2024-05-07__11-16-11.361.mp4;1;1;;;F;added to nova folder;recording_triad_06;0,852;60:90;
TRIAD_2024_06_14_Seminar_Wue_Session_1_Group_1_TS;2024-06-14 11:34:45.000;2024-06-14 11:39:00.000;;;;2024_11_15_TRIAD_2024_06_14_Seminar_Wue_Session_1_Group_1_NTPts_2024-06-14__09-31-00.578_trim.mp4;0;0;;;;added to nova folder;;;;The green participant is stuck in the floor and is not audible in the recording. Only the other two girls. After 5 min they just goof around
TRIAD_2024_06_14_Seminar_Wue_Session_2_Group_1_TS;2024-06-14 13:31:05.000;2024-06-14 13:38:20.000;2024-06-14 13:27:59.751000;2024-06-14 13:39:32.751;693.0;2024_11_15_TRIAD_2024_06_14_Seminar_Wue_Session_2_Group_1_NTPts_2024-06-14__11-28-00.034_trim.mp4;1;1;0;;Line;added to nova folder;recording_triad_07;0,913;60:90;
TRIAD_2024_06_14_Seminar_Wue_Session_3_Group_1_TS;2024-06-14 15:36:10.000;2024-06-14 15:42:30.000;2024-06-14 15:33:07.569000;2024-06-14 15:42:51.409;583.84;2024_11_15_TRIAD_2024_06_14_Seminar_Wue_Session_3_Group_1_NTPts_2024-06-14__13-33-07.985.mp4;1;1;0;;F;added to nova folder;recording_triad_08;"for some reason this is 0; to check out";60:90?;[added more minutes at the end as they are still discussing, even though prob low cog]The data is valid, but they only talk about the tasks a very short time and play a lot with the virtual tablets etc.
TRIAD_2024_06_14_Seminar_Wue_Session_3_Group_2_TS;2024-06-14 15:35:30.000;2024-06-14 15:42:51.000;2024-06-14 15:33:07.575000;2024-06-14 15:42:51.425;583.85;2024_11_15_TRIAD_2024_06_14_Seminar_Wue_Session_3_Group_2_NTPts_2024-06-14__13-33-06.599.mp4;1;1;;;F;added to nova folder;recording_triad_09;0,875;60:90;The Video is cut off in the end mid conversation
TRIAD_2024_05_07_Seminar_Wue_Session_1_Group_2_No_Nvidia;;;2024-05-07 11:36:21.621000;2024-05-07 11:44:08.237;466.616;2024_11_15_TRIAD_2024_05_07_Seminar_Wue_Session_1_Group_2_No_Nvidia_NTPts_2024-05-07__09-36-22.977.mp4;;;;;F;"exported; added to nova folder";recording_triad_10;0,908;60:90;We don't seem to have a group_features file for this group?? How was this included in the blink calculations?
TRIAD_2024_05_07_Seminar_Wue_Session_1_Group_4_p1_Higher_Up;;;2024-05-07 11:36:21.565000;2024-05-07 11:44:07.040;465.475;2024_11_12_TRIAD_2024_05_07_Seminar_Wue_Session_1_Group_4_p1_Higher_Up _NTPts_2024-05-07__09-36-22.329.mp4;;;;;kind of half half? Carlos thinks it is closer to a line;"exported; added to nova folder";recording_triad_11;0,530;60:90;We don't seem to have a group_features file for this group?? How was this included in the blink calculations?
TRIAD_2024_11_11_Seminar_Mun_Session_1_Group_1;;;2024-11-11 15:48:29.971000;2024-11-11 15:57:31.923;541.952;2024_12_02_TRIAD_2024_11_11_Seminar_Mun_Session_1_Group_1_NTPts_2024-11-11__14-48-30.285_trim.mp4;;;;;Line;"exported; added to nova folder";recording_triad_12;0,855;60:90;
TRIAD_2024_11_18_Seminar_Mun_Session_1_Group_1;;;2024-11-18 15:49:43.152000;2024-11-18 16:00:45.857;662.705;2024_12_02_TRIAD_2024_11_18_Seminar_Mun_Session_1_Group_1_NTPts_2024-11-18__14-49-43.522.mp4;;;;;F;"exported; added to nova folder";recording_triad_13;0,820;60:90;
TRIAD_2024_11_04_Seminar_Mun_Session_1_Group_1;;;2024-11-04 15:45:58.826000;2024-11-04 16:05:08.326;1149.5;2024_11_29_TRIAD_2024_11_04_Seminar_Mun_Session_1_Group_1_NTPts_2024-11-04__14-45-59.371_trim.mp4;;;;;Line;"exported; added to nova folder";recording_triad_14;0,517;60:90;
DYAD_2023_12_19_Seminar_Wue_Session_1_Group_2_TS;;;;;;;;;;;;No video - all participant silent. (Check in observer video perhaps?) but likely not possible because it is not synced with ntp TS;;;;"Should this still be used as we don't really mind about the voice? However we can't use it when we look at cognition; "
TRIAD_2023_12_19_Seminar_Wue_Session_1_Group_1_TS;;;;;;;;;;;;No video - all participant silent. (Check in observer video perhaps?) but likely not possible because it is not synced with ntp TS;;;;"Should this still be used as we don't really mind about the voice? However we can't use it when we look at cognition; "
