analysis,group_split,target,feature,logreg_std_coef,logreg_abs_coef,rf_importance
window_60s_individual_engagement_base_all,all,engagement_target,speaking_seconds,-0.7693738658939098,0.7693738658939098,0.10369845099014652
window_60s_individual_engagement_base_all,all,engagement_target,role_p_green,0.6416442483935688,0.6416442483935688,0.032299457517272326
window_60s_individual_engagement_base_all,all,engagement_target,role_p_red,0.3644155207221126,0.3644155207221126,0.01693852304190241
window_60s_individual_engagement_base_D,D,engagement_target,word_count,0.9362426082352421,0.9362426082352421,0.09105700279955169
window_60s_individual_engagement_base_D,D,engagement_target,avg_word_length,0.6793742056560954,0.6793742056560954,0.07446416300379317
window_60s_individual_engagement_base_D,D,engagement_target,words_per_second,0.9362426082352415,0.9362426082352415,0.08564835281850075
window_60s_individual_engagement_base_D,D,engagement_target,sentiment_role,0.14328834711928354,0.14328834711928354,0.07286776951530148
window_60s_individual_engagement_base_D,D,engagement_target,speaking_role,0.019380122609271914,0.019380122609271914,0.10912231333513153
window_60s_individual_engagement_base_D,D,engagement_target,arousal,-0.08700414080673154,0.08700414080673154,0.08112320083538012
window_60s_individual_engagement_base_D,D,engagement_target,dominance,-0.2630137482389405,0.2630137482389405,0.07526773974034211
window_60s_individual_engagement_base_D,D,engagement_target,valence,0.6442970632973843,0.6442970632973843,0.12489153905523541
window_60s_individual_engagement_base_D,D,engagement_target,question_rate,-0.2670648726068392,0.2670648726068392,0.02200261085429616
window_60s_individual_engagement_base_D,D,engagement_target,statement_rate,-0.5763053454287146,0.5763053454287146,0.02342754396044701
window_60s_individual_engagement_base_D,D,engagement_target,segment_count,-0.2523803195919643,0.2523803195919643,0.052717905292545816
window_60s_individual_engagement_base_D,D,engagement_target,speaking_seconds,-0.9427439957145521,0.9427439957145521,0.08712615910705358
window_60s_individual_engagement_base_D,D,engagement_target,role_p_green,1.0690498585407497,1.0690498585407497,0.10028369968242114
window_60s_individual_engagement_base_T,T,engagement_target,word_count,0.22722870476338278,0.22722870476338278,0.10628346378783156
window_60s_individual_engagement_base_T,T,engagement_target,avg_word_length,0.09197435126176219,0.09197435126176219,0.06808113477476575
window_60s_individual_engagement_base_T,T,engagement_target,words_per_second,0.2272287047633829,0.2272287047633829,0.0949572524700348
window_60s_individual_engagement_base_T,T,engagement_target,sentiment_role,0.42373957316277017,0.42373957316277017,0.07903949508865389
window_60s_individual_engagement_base_T,T,engagement_target,speaking_role,0.7529014306390059,0.7529014306390059,0.11107514259374014
window_60s_individual_engagement_base_T,T,engagement_target,arousal,0.7215309938687462,0.7215309938687462,0.07743733061271905
window_60s_individual_engagement_base_T,T,engagement_target,dominance,-1.4385768087338535,1.4385768087338535,0.12543368202169353
window_60s_individual_engagement_base_T,T,engagement_target,valence,-0.22410648502646027,0.22410648502646027,0.08711492439568022
window_60s_individual_engagement_base_T,T,engagement_target,question_rate,-0.008260882922231455,0.008260882922231455,0.018772134122658036
window_60s_individual_engagement_base_T,T,engagement_target,statement_rate,0.15662329672240613,0.15662329672240613,0.0198894864989743
window_60s_individual_engagement_base_T,T,engagement_target,segment_count,0.16824436114810504,0.16824436114810504,0.06030791931622933
window_60s_individual_engagement_base_T,T,engagement_target,speaking_seconds,0.05368393396682846,0.05368393396682846,0.11003227772566188
window_60s_individual_engagement_base_T,T,engagement_target,role_p_green,0.2925481410413823,0.2925481410413823,0.023627123028676617
window_60s_individual_engagement_base_T,T,engagement_target,role_p_red,0.12173725736776102,0.12173725736776102,0.01794863356268102
window_60s_group_task_engagement_base_all,all,task_engagement,word_count,0.23965926881889624,0.23965926881889624,0.04501283098800128
window_60s_group_task_engagement_base_all,all,task_engagement,avg_word_length,-0.3766974122727228,0.3766974122727228,0.04985274937437317
window_60s_group_task_engagement_base_all,all,task_engagement,words_per_second,0.23965926881889602,0.23965926881889602,0.046619179288985915
window_60s_group_task_engagement_base_all,all,task_engagement,sentiment_role,-0.29430252136414226,0.29430252136414226,0.05658791167629868
window_60s_group_task_engagement_base_all,all,task_engagement,speaking_role,-0.09250237485094084,0.09250237485094084,0.06303265204340615
window_60s_group_task_engagement_base_all,all,task_engagement,arousal,-0.05403864609520689,0.05403864609520689,0.12642126257362546
window_60s_group_task_engagement_base_all,all,task_engagement,dominance,-1.3295290803679947,1.3295290803679947,0.18301178590721498
window_60s_group_task_engagement_base_all,all,task_engagement,valence,1.1202935747885516,1.1202935747885516,0.20799490964801987
window_60s_group_task_engagement_base_all,all,task_engagement,question_rate,-0.2778014687844326,0.2778014687844326,0.06081200677059649
window_60s_group_task_engagement_base_all,all,task_engagement,statement_rate,0.27235560265891623,0.27235560265891623,0.052067438646266756
