analysis,group_split,feature_modality,target,model,threshold,include_streams,use_pca,n_samples,n_folds,n_low,n_high,acc_mean,acc_std,f1_macro_mean,f1_macro_std,accuracy_pooled,f1_macro_pooled,precision_low,recall_low,f1_low,precision_high,recall_high,f1_high
window_60s_individual_engagement_paralinguistic_D,D,paralinguistic,engagement_target,Logistic Regression,0.5,False,False,159,8,92,67,0.6344318977591037,0.16418846090826608,0.5745345053497227,0.20459217865161006,0.6477987421383647,0.6388708630759248,0.6956521739130435,0.6956521739130435,0.6956521739130435,0.582089552238806,0.582089552238806,0.582089552238806
window_60s_individual_engagement_paralinguistic_D,D,paralinguistic,engagement_target,Linear SVM l1,0.5,False,False,159,8,92,67,0.6119747899159664,0.1633867109118955,0.5429388747323529,0.1988375631422634,0.6226415094339622,0.6077302631578947,0.6632653061224489,0.7065217391304348,0.6842105263157895,0.5573770491803278,0.5074626865671642,0.53125
window_60s_individual_engagement_paralinguistic_D,D,paralinguistic,engagement_target,Linear SVM l2,0.5,False,False,159,8,92,67,0.6182247899159664,0.1495739387759467,0.5467735631191617,0.1906796370256299,0.6289308176100629,0.6132662736529662,0.6666666666666666,0.717391304347826,0.6910994764397905,0.5666666666666667,0.5074626865671642,0.5354330708661418
window_60s_individual_engagement_paralinguistic_D,D,paralinguistic,engagement_target,SVM linear or rbf,0.5,False,False,159,8,92,67,0.4702337184873949,0.16529396739783395,0.3496461194827666,0.13441790092200337,0.4716981132075472,0.3733108108108108,0.5307692307692308,0.75,0.6216216216216216,0.20689655172413793,0.08955223880597014,0.125
window_60s_individual_engagement_paralinguistic_D,D,paralinguistic,engagement_target,Decision Tree,0.5,False,False,159,8,92,67,0.6063419117647059,0.1641660549136598,0.5261470540646742,0.18662807030513545,0.6037735849056604,0.594535519125683,0.6593406593406593,0.6521739130434783,0.6557377049180327,0.5294117647058824,0.5373134328358209,0.5333333333333333
window_60s_individual_engagement_paralinguistic_D,D,paralinguistic,engagement_target,Random Forest,0.5,False,False,159,8,92,67,0.6309086134453781,0.15771006405537089,0.5662450124181395,0.1963898159858813,0.6352201257861635,0.6226677577741409,0.6770833333333334,0.7065217391304348,0.6914893617021277,0.5714285714285714,0.5373134328358209,0.5538461538461539
window_60s_individual_engagement_paralinguistic_D,D,paralinguistic,engagement_target,Neural Net,0.5,False,False,159,8,92,67,0.5568146008403361,0.10352527227168748,0.49004197972324104,0.14542210543984938,0.559748427672956,0.5423519736842105,0.6122448979591837,0.6521739130434783,0.631578947368421,0.47540983606557374,0.43283582089552236,0.453125
window_60s_individual_engagement_paralinguistic_D,D,paralinguistic,engagement_target,AdaBoost,0.5,False,False,159,8,92,67,0.5271271008403362,0.10236066823339873,0.4033986915267622,0.14115461916843375,0.5283018867924528,0.5132056986569784,0.5894736842105263,0.6086956521739131,0.5989304812834224,0.4375,0.417910447761194,0.42748091603053434
window_60s_individual_engagement_paralinguistic_D,D,paralinguistic,engagement_target,Naive Bayes,0.5,False,False,159,8,92,67,0.6389311974789915,0.14794540724838587,0.5862830509653769,0.17158085579336432,0.6289308176100629,0.6260314929240582,0.7037037037037037,0.6195652173913043,0.6589595375722543,0.5512820512820513,0.6417910447761194,0.593103448275862
window_60s_individual_engagement_paralinguistic_D,D,paralinguistic,engagement_target,QDA,0.5,False,False,159,8,92,67,0.6616377801120448,0.16546531816285048,0.5999795092186397,0.21237763388715739,0.6729559748427673,0.6671497584541063,0.7272727272727273,0.6956521739130435,0.7111111111111111,0.6056338028169014,0.6417910447761194,0.6231884057971014
window_60s_individual_engagement_audio_D,D,audio,engagement_target,Baseline Most Frequent,0.5,False,False,159,8,92,67,0.5963322829131652,0.2695560640463424,0.41799502820844286,0.25976480444800476,0.5786163522012578,0.3665338645418327,0.5786163522012578,1.0,0.7330677290836654,0.0,0.0,0.0
window_60s_individual_engagement_audio_D,D,audio,engagement_target,Baseline Prior,0.5,False,False,159,8,92,67,0.5963322829131652,0.2695560640463424,0.41799502820844286,0.25976480444800476,0.5786163522012578,0.3665338645418327,0.5786163522012578,1.0,0.7330677290836654,0.0,0.0,0.0
window_60s_individual_engagement_audio_D,D,audio,engagement_target,Baseline Stratified,0.5,False,False,159,8,92,67,0.44296218487394956,0.15022798989604677,0.39635867604617603,0.16221426298918074,0.42138364779874216,0.4014729950900163,0.5,0.5217391304347826,0.5106382978723404,0.30158730158730157,0.2835820895522388,0.2923076923076923
window_60s_individual_engagement_audio_D,D,audio,engagement_target,Baseline Uniform,0.5,False,False,159,8,92,67,0.6227853641456582,0.12590298576964198,0.5486009114077626,0.12357814430468604,0.6163522012578616,0.5956222639149469,0.6504854368932039,0.7282608695652174,0.6871794871794872,0.5535714285714286,0.4626865671641791,0.5040650406504065
window_60s_individual_engagement_audio_D,D,audio,engagement_target,kNN,0.5,False,False,159,8,92,67,0.5350008753501401,0.15871036176328623,0.41430913664155017,0.17955068844599,0.5283018867924528,0.4964317385245556,0.5794392523364486,0.6739130434782609,0.6231155778894473,0.4230769230769231,0.3283582089552239,0.3697478991596639
window_60s_individual_engagement_audio_D,D,audio,engagement_target,Logistic Regression,0.5,False,False,159,8,92,67,0.4050682773109244,0.1657314214053212,0.27867186939767585,0.09374169367926767,0.4025157232704403,0.33694745621351124,0.48717948717948717,0.6195652173913043,0.5454545454545454,0.16666666666666666,0.1044776119402985,0.12844036697247707
window_60s_individual_engagement_audio_D,D,audio,engagement_target,Linear SVM l1,0.5,False,False,159,8,92,67,0.5462141106442577,0.17842627471250289,0.43906030978611627,0.20581051018361102,0.5471698113207547,0.5315875613747955,0.6041666666666666,0.6304347826086957,0.6170212765957447,0.4603174603174603,0.43283582089552236,0.4461538461538462
window_60s_individual_engagement_audio_D,D,audio,engagement_target,Linear SVM l2,0.5,False,False,159,8,92,67,0.5826724439775911,0.20516008968251562,0.4987128194386259,0.2426238822655346,0.5911949685534591,0.5846228045496564,0.6551724137931034,0.6195652173913043,0.6368715083798883,0.5138888888888888,0.5522388059701493,0.5323741007194245
window_60s_individual_engagement_audio_D,D,audio,engagement_target,SVM linear or rbf,0.5,False,False,159,8,92,67,0.4050682773109244,0.1657314214053212,0.27867186939767585,0.09374169367926767,0.4025157232704403,0.33694745621351124,0.48717948717948717,0.6195652173913043,0.5454545454545454,0.16666666666666666,0.1044776119402985,0.12844036697247707
window_60s_individual_engagement_audio_D,D,audio,engagement_target,Decision Tree,0.5,False,False,159,8,92,67,0.5581188725490196,0.15534484416448616,0.47094644396992397,0.1267549917455002,0.559748427672956,0.5373295643498504,0.6078431372549019,0.6739130434782609,0.6391752577319587,0.47368421052631576,0.40298507462686567,0.43548387096774194
window_60s_individual_engagement_audio_D,D,audio,engagement_target,Random Forest,0.5,False,False,159,8,92,67,0.5332545518207283,0.08442689614494903,0.4206328936763719,0.08257406803542729,0.5345911949685535,0.4940660474716202,0.5803571428571429,0.7065217391304348,0.6372549019607843,0.425531914893617,0.29850746268656714,0.3508771929824561
window_60s_individual_engagement_audio_D,D,audio,engagement_target,Neural Net,0.5,False,False,159,8,92,67,0.5828562675070028,0.17580059445974314,0.4639040284456244,0.21715219516722228,0.5786163522012578,0.5630614002707026,0.6288659793814433,0.6630434782608695,0.6455026455026455,0.5,0.4626865671641791,0.4806201550387597
window_60s_individual_engagement_audio_D,D,audio,engagement_target,AdaBoost,0.5,False,False,159,8,92,67,0.4509016106442577,0.21660124742538514,0.35879469408571796,0.21503948585095425,0.4528301886792453,0.45204991087344026,0.5409836065573771,0.358695652173913,0.43137254901960786,0.3979591836734694,0.582089552238806,0.4727272727272727
window_60s_individual_engagement_audio_D,D,audio,engagement_target,Naive Bayes,0.5,False,False,159,8,92,67,0.5952949929971989,0.18410776053390376,0.49825149835230487,0.22229704782676424,0.5974842767295597,0.5888817065287654,0.6555555555555556,0.6413043478260869,0.6483516483516484,0.5217391304347826,0.5373134328358209,0.5294117647058824
window_60s_individual_engagement_audio_D,D,audio,engagement_target,QDA,0.5,False,False,159,8,92,67,0.5941307773109243,0.20478789156700178,0.5001274671690631,0.23431003338338594,0.5974842767295597,0.5903381642512078,0.6590909090909091,0.6304347826086957,0.6444444444444445,0.5211267605633803,0.5522388059701493,0.5362318840579711
window_60s_individual_engagement_base_T,T,multimodal,engagement_target,Baseline Most Frequent,0.5,False,False,334,12,178,156,0.5415523111601542,0.21859887923186366,0.33972601550421583,0.08961944528052494,0.5329341317365269,0.34765625,0.5329341317365269,1.0,0.6953125,0.0,0.0,0.0
window_60s_individual_engagement_base_T,T,multimodal,engagement_target,Baseline Prior,0.5,False,False,334,12,178,156,0.5415523111601542,0.21859887923186366,0.33972601550421583,0.08961944528052494,0.5329341317365269,0.34765625,0.5329341317365269,1.0,0.6953125,0.0,0.0,0.0
window_60s_individual_engagement_base_T,T,multimodal,engagement_target,Baseline Stratified,0.5,False,False,334,12,178,156,0.4905001679511483,0.1211144806289614,0.45431740951752225,0.12644850102610233,0.4820359281437126,0.47330617007118964,0.5125628140703518,0.5730337078651685,0.5411140583554377,0.43703703703703706,0.3782051282051282,0.4054982817869416
window_60s_individual_engagement_base_T,T,multimodal,engagement_target,Baseline Uniform,0.5,False,False,334,12,178,156,0.5242791431516922,0.13164522049579777,0.49567406938007924,0.124809796173658,0.5269461077844312,0.5248847594353212,0.5561797752808989,0.5561797752808989,0.5561797752808989,0.4935897435897436,0.4935897435897436,0.4935897435897436
