analysis,group_split,target,model,fold,group,accuracy,f1_macro
segment_individual_engagement_base_all,all,engagement_target,kNN,13,dyad_05,0.4778761061946903,0.4763999057566952
segment_individual_engagement_base_all,all,engagement_target,Random Forest,13,dyad_05,0.504424778761062,0.49777777777777776
segment_individual_engagement_base_all,all,engagement_target,Logistic Regression,13,dyad_05,0.46017699115044247,0.4427197024820115
segment_individual_engagement_base_all,all,engagement_target,Baseline Uniform,14,triad_10,0.4636363636363636,0.4235722533084643
segment_individual_engagement_base_all,all,engagement_target,QDA,14,triad_10,0.45454545454545453,0.4427558257345492
segment_individual_engagement_base_all,all,engagement_target,SVM (rbf),14,triad_10,0.34545454545454546,0.3445878848063555
segment_individual_engagement_base_all,all,engagement_target,SVM (linear),14,triad_10,0.37272727272727274,0.3701767488175255
segment_individual_engagement_base_all,all,engagement_target,Naive Bayes,14,triad_10,0.509090909090909,0.48863636363636365
segment_individual_engagement_base_all,all,engagement_target,kNN,14,triad_10,0.4727272727272727,0.45470085470085475
segment_individual_engagement_base_all,all,engagement_target,Random Forest,14,triad_10,0.38181818181818183,0.37853107344632764
segment_individual_engagement_base_all,all,engagement_target,Logistic Regression,14,triad_10,0.38181818181818183,0.37853107344632764
segment_individual_engagement_base_all,all,engagement_target,Baseline Uniform,15,triad_12,0.5444444444444444,0.5314285714285715
segment_individual_engagement_base_all,all,engagement_target,QDA,15,triad_12,0.6888888888888889,0.6370967741935484
segment_individual_engagement_base_all,all,engagement_target,SVM (rbf),15,triad_12,0.7444444444444445,0.677519862906995
segment_individual_engagement_base_all,all,engagement_target,SVM (linear),15,triad_12,0.7777777777777778,0.7295673076923077
segment_individual_engagement_base_all,all,engagement_target,Naive Bayes,15,triad_12,0.6,0.533410138248848
segment_individual_engagement_base_all,all,engagement_target,kNN,15,triad_12,0.6666666666666666,0.6031746031746031
segment_individual_engagement_base_all,all,engagement_target,Random Forest,15,triad_12,0.7222222222222222,0.6790757381258024
segment_individual_engagement_base_all,all,engagement_target,Logistic Regression,15,triad_12,0.7222222222222222,0.6580027359781122
segment_individual_engagement_base_all,all,engagement_target,Baseline Uniform,16,triad_07,0.5,0.47816711590296496
segment_individual_engagement_base_all,all,engagement_target,QDA,16,triad_07,0.5681818181818182,0.5625327053898482
segment_individual_engagement_base_all,all,engagement_target,SVM (rbf),16,triad_07,0.5113636363636364,0.5107950872656755
segment_individual_engagement_base_all,all,engagement_target,SVM (linear),16,triad_07,0.48863636363636365,0.4885703215807826
segment_individual_engagement_base_all,all,engagement_target,Naive Bayes,16,triad_07,0.5568181818181818,0.5553828216090168
segment_individual_engagement_base_all,all,engagement_target,kNN,16,triad_07,0.5227272727272727,0.5204981837052414
segment_individual_engagement_base_all,all,engagement_target,Random Forest,16,triad_07,0.4659090909090909,0.46417929783650735
segment_individual_engagement_base_all,all,engagement_target,Logistic Regression,16,triad_07,0.48863636363636365,0.48804137039431156
segment_individual_engagement_base_all,all,engagement_target,Baseline Uniform,17,triad_11,0.47435897435897434,0.3217391304347826
segment_individual_engagement_base_all,all,engagement_target,QDA,17,triad_11,0.5128205128205128,0.3389830508474576
segment_individual_engagement_base_all,all,engagement_target,SVM (rbf),17,triad_11,0.5256410256410257,0.3445378151260504
segment_individual_engagement_base_all,all,engagement_target,SVM (linear),17,triad_11,0.4358974358974359,0.30357142857142855
segment_individual_engagement_base_all,all,engagement_target,Naive Bayes,17,triad_11,0.5641025641025641,0.36065573770491804
segment_individual_engagement_base_all,all,engagement_target,kNN,17,triad_11,0.3974358974358974,0.30078199504100706
segment_individual_engagement_base_all,all,engagement_target,Random Forest,17,triad_11,0.5128205128205128,0.36120689655172417
segment_individual_engagement_base_all,all,engagement_target,Logistic Regression,17,triad_11,0.5,0.3333333333333333
segment_individual_engagement_base_all,all,engagement_target,Baseline Uniform,18,triad_02,0.5066666666666667,0.4688995215311005
segment_individual_engagement_base_all,all,engagement_target,QDA,18,triad_02,0.68,0.5770676691729323
segment_individual_engagement_base_all,all,engagement_target,SVM (rbf),18,triad_02,0.72,0.5257452574525745
segment_individual_engagement_base_all,all,engagement_target,SVM (linear),18,triad_02,0.5333333333333333,0.4294718539447946
segment_individual_engagement_base_all,all,engagement_target,Naive Bayes,18,triad_02,0.7333333333333333,0.6345029239766082
segment_individual_engagement_base_all,all,engagement_target,kNN,18,triad_02,0.64,0.5156661085864626
segment_individual_engagement_base_all,all,engagement_target,Random Forest,18,triad_02,0.7066666666666667,0.5169789227166276
segment_individual_engagement_base_all,all,engagement_target,Logistic Regression,18,triad_02,0.6133333333333333,0.5133139404788544
segment_individual_engagement_base_all,all,engagement_target,Baseline Uniform,19,dyad_02,0.5,0.48894783377541995
segment_individual_engagement_base_all,all,engagement_target,QDA,19,dyad_02,0.3382352941176471,0.33114754098360655
segment_individual_engagement_base_all,all,engagement_target,SVM (rbf),19,dyad_02,0.38235294117647056,0.3736842105263158
segment_individual_engagement_base_all,all,engagement_target,SVM (linear),19,dyad_02,0.22058823529411764,0.21635138073494237
segment_individual_engagement_base_all,all,engagement_target,Naive Bayes,19,dyad_02,0.4264705882352941,0.4263465282284231
segment_individual_engagement_base_all,all,engagement_target,kNN,19,dyad_02,0.45588235294117646,0.45482123510292527
segment_individual_engagement_base_all,all,engagement_target,Random Forest,19,dyad_02,0.4852941176470588,0.48518278174345664
segment_individual_engagement_base_all,all,engagement_target,Logistic Regression,19,dyad_02,0.2647058823529412,0.26406926406926406
segment_individual_engagement_base_D,D,engagement_target,Baseline Uniform,0,dyad_04,0.5034722222222222,0.5034662358487154
segment_individual_engagement_base_D,D,engagement_target,QDA,0,dyad_04,0.6875,0.6869565217391305
segment_individual_engagement_base_D,D,engagement_target,SVM (rbf),0,dyad_04,0.6944444444444444,0.6890306748466257
segment_individual_engagement_base_D,D,engagement_target,SVM (linear),0,dyad_04,0.7291666666666666,0.728695652173913
segment_individual_engagement_base_D,D,engagement_target,Naive Bayes,0,dyad_04,0.6041666666666666,0.5836038961038961
segment_individual_engagement_base_D,D,engagement_target,kNN,0,dyad_04,0.625,0.6160379221805253
segment_individual_engagement_base_D,D,engagement_target,Random Forest,0,dyad_04,0.6527777777777778,0.6459480723839497
segment_individual_engagement_base_D,D,engagement_target,Logistic Regression,0,dyad_04,0.7083333333333334,0.6985044865403789
segment_individual_engagement_base_D,D,engagement_target,Baseline Uniform,1,dyad_03,0.43775100401606426,0.4151006711409396
segment_individual_engagement_base_D,D,engagement_target,QDA,1,dyad_03,0.42971887550200805,0.4104641856742697
segment_individual_engagement_base_D,D,engagement_target,SVM (rbf),1,dyad_03,0.6546184738955824,0.6539431157078215
segment_individual_engagement_base_D,D,engagement_target,SVM (linear),1,dyad_03,0.7991967871485943,0.7917781643029167
segment_individual_engagement_base_D,D,engagement_target,Naive Bayes,1,dyad_03,0.43373493975903615,0.4229764154819624
segment_individual_engagement_base_D,D,engagement_target,kNN,1,dyad_03,0.570281124497992,0.5700314693778746
segment_individual_engagement_base_D,D,engagement_target,Random Forest,1,dyad_03,0.6224899598393574,0.6202790395846853
segment_individual_engagement_base_D,D,engagement_target,Logistic Regression,1,dyad_03,0.6546184738955824,0.6536744727649113
segment_individual_engagement_base_D,D,engagement_target,Baseline Uniform,2,dyad_07,0.4878048780487805,0.4806871094598181
segment_individual_engagement_base_D,D,engagement_target,QDA,2,dyad_07,0.6926829268292682,0.6897297297297298
segment_individual_engagement_base_D,D,engagement_target,SVM (rbf),2,dyad_07,0.6682926829268293,0.6632850241545893
segment_individual_engagement_base_D,D,engagement_target,SVM (linear),2,dyad_07,0.8195121951219512,0.8174093064683083
segment_individual_engagement_base_D,D,engagement_target,Naive Bayes,2,dyad_07,0.7073170731707317,0.7028985507246377
segment_individual_engagement_base_D,D,engagement_target,kNN,2,dyad_07,0.5902439024390244,0.5885894495412844
segment_individual_engagement_base_D,D,engagement_target,Random Forest,2,dyad_07,0.5707317073170731,0.5707214924804873
segment_individual_engagement_base_D,D,engagement_target,Logistic Regression,2,dyad_07,0.7365853658536585,0.729577877662693
segment_individual_engagement_base_D,D,engagement_target,Baseline Uniform,3,dyad_06,0.5416666666666666,0.4729370008873114
segment_individual_engagement_base_D,D,engagement_target,QDA,3,dyad_06,0.7291666666666666,0.6543361851418723
segment_individual_engagement_base_D,D,engagement_target,SVM (rbf),3,dyad_06,0.6180555555555556,0.5680392691573493
segment_individual_engagement_base_D,D,engagement_target,SVM (linear),3,dyad_06,0.6388888888888888,0.5847382431233363
segment_individual_engagement_base_D,D,engagement_target,Naive Bayes,3,dyad_06,0.7777777777777778,0.645320197044335
segment_individual_engagement_base_D,D,engagement_target,kNN,3,dyad_06,0.6458333333333334,0.5853424425498278
segment_individual_engagement_base_D,D,engagement_target,Random Forest,3,dyad_06,0.5972222222222222,0.546875
segment_individual_engagement_base_D,D,engagement_target,Logistic Regression,3,dyad_06,0.6805555555555556,0.6186967533962698
segment_individual_engagement_base_D,D,engagement_target,Baseline Uniform,4,dyad_11,0.48507462686567165,0.4374201399452389
segment_individual_engagement_base_D,D,engagement_target,QDA,4,dyad_11,0.6940298507462687,0.6372879117977157
segment_individual_engagement_base_D,D,engagement_target,SVM (rbf),4,dyad_11,0.6119402985074627,0.5696640316205533
segment_individual_engagement_base_D,D,engagement_target,SVM (linear),4,dyad_11,0.6343283582089553,0.5965591397849462
segment_individual_engagement_base_D,D,engagement_target,Naive Bayes,4,dyad_11,0.6940298507462687,0.5998834753477533
segment_individual_engagement_base_D,D,engagement_target,kNN,4,dyad_11,0.5895522388059702,0.563052113594593
segment_individual_engagement_base_D,D,engagement_target,Random Forest,4,dyad_11,0.5895522388059702,0.563052113594593
segment_individual_engagement_base_D,D,engagement_target,Logistic Regression,4,dyad_11,0.6044776119402985,0.5755184985954216
segment_individual_engagement_base_D,D,engagement_target,Baseline Uniform,5,dyad_10,0.41379310344827586,0.2926829268292683
segment_individual_engagement_base_D,D,engagement_target,QDA,5,dyad_10,0.2672413793103448,0.2108843537414966
segment_individual_engagement_base_D,D,engagement_target,SVM (rbf),5,dyad_10,0.31896551724137934,0.24183006535947713
segment_individual_engagement_base_D,D,engagement_target,SVM (linear),5,dyad_10,0.3448275862068966,0.2564102564102564
segment_individual_engagement_base_D,D,engagement_target,Naive Bayes,5,dyad_10,0.16379310344827586,0.14074074074074075
segment_individual_engagement_base_D,D,engagement_target,kNN,5,dyad_10,0.29310344827586204,0.22666666666666666
