analysis,group_split,target,model,comparison,n_pairs,mean_model,mean_ref,t_stat,p_value,cohen_d,p_value_adj,significant
segment_group_task_engagement_base_all,all,task_engagement,SVM (linear),vs_baseline_uniform,20,0.7127485823037992,0.5042711448632008,5.187896216754501,5.2343482027511984e-05,1.1600488600877044,0.0003664043741925839,True
segment_group_task_engagement_base_all,all,task_engagement,SVM (rbf),vs_baseline_uniform,20,0.6984954565230833,0.5042711448632008,4.567854341330794,0.000210221950614856,1.0214032818533183,0.001471553654303992,True
segment_group_task_engagement_base_all,all,task_engagement,kNN,vs_baseline_uniform,20,0.6592544929444568,0.5042711448632008,4.682591729140795,0.00016217151332974136,1.0470593417237102,0.0011352005933081895,True
segment_group_task_engagement_base_all,all,task_engagement,Logistic Regression,vs_carlos_qda_gazespeak,20,0.7036463476479868,0.5977185314685315,1.7553970102526164,0.09530187114206112,0.3925187042424745,0.6671130979944279,False
segment_group_task_engagement_base_all,all,task_engagement,Naive Bayes,vs_carlos_qda_gazespeak,20,0.5890380361175043,0.5977185314685315,-0.1959012360988424,0.8467674445968016,-0.04380484807932473,1.0,False
segment_group_task_engagement_base_all,all,task_engagement,QDA,vs_carlos_qda_gazespeak,20,0.608158808979625,0.5977185314685315,0.24785141845845743,0.8069082087483713,0.055421261999285695,1.0,False
segment_group_task_engagement_base_all,all,task_engagement,Random Forest,vs_carlos_qda_gazespeak,20,0.6879010531711717,0.5977185314685315,1.628892453608665,0.11980380956620729,0.36423142543053977,0.838626666963451,False
segment_group_task_engagement_base_all,all,task_engagement,SVM (linear),vs_carlos_qda_gazespeak,20,0.7127485823037992,0.5977185314685315,1.9563210276586627,0.06528986873469436,0.4374466803657015,0.45702908114286056,False
segment_group_task_engagement_base_all,all,task_engagement,SVM (rbf),vs_carlos_qda_gazespeak,20,0.6984954565230833,0.5977185314685315,1.6861417273788755,0.10812051604117844,0.37703275221180826,0.756843612288249,False
segment_group_task_engagement_base_all,all,task_engagement,kNN,vs_carlos_qda_gazespeak,20,0.6592544929444568,0.5977185314685315,1.1033050584202582,0.28367326513267155,0.2467065110547074,1.0,False
segment_group_task_engagement_paralinguistic_D,D,task_engagement,Logistic Regression,vs_baseline_uniform,8,0.6503045492908495,0.4924076771233227,1.68675382537907,0.13551196346218505,0.596357534058945,0.9485837442352953,False
segment_group_task_engagement_paralinguistic_D,D,task_engagement,Naive Bayes,vs_baseline_uniform,8,0.5268386587232715,0.4924076771233227,0.5660084884493071,0.5890642168094485,0.20011422019582634,1.0,False
segment_group_task_engagement_paralinguistic_D,D,task_engagement,QDA,vs_baseline_uniform,8,0.5158860303223468,0.4924076771233227,0.4113962786697475,0.6930857428964221,0.14545054920114453,1.0,False
segment_group_task_engagement_paralinguistic_D,D,task_engagement,Random Forest,vs_baseline_uniform,8,0.6036542673994328,0.4924076771233227,1.8934591405775538,0.10016471816920532,0.6694388991010203,0.7011530271844372,False
segment_group_task_engagement_paralinguistic_D,D,task_engagement,SVM (linear),vs_baseline_uniform,8,0.651093764491966,0.4924076771233227,1.7238980398885333,0.128386132846446,0.6094899970396896,0.8987029299251221,False
segment_group_task_engagement_paralinguistic_D,D,task_engagement,SVM (rbf),vs_baseline_uniform,8,0.6512258561505022,0.4924076771233227,1.7096562521934142,0.13107530451915558,0.6044547647119707,0.917527131634089,False
segment_group_task_engagement_paralinguistic_D,D,task_engagement,kNN,vs_baseline_uniform,8,0.589320384532118,0.4924076771233227,1.651778434843354,0.14256163066776759,0.5839918661477187,0.9979314146743731,False
segment_group_task_engagement_paralinguistic_D,D,task_engagement,Logistic Regression,vs_carlos_qda_gazespeak,8,0.6503045492908495,0.6325306637806637,0.1556365126526546,0.8807126028654274,0.05502581674845899,1.0,False
segment_group_task_engagement_paralinguistic_D,D,task_engagement,Naive Bayes,vs_carlos_qda_gazespeak,8,0.5268386587232715,0.6325306637806637,-1.5448461985568585,0.1662983773403646,-0.5461856114449072,1.0,False
segment_group_task_engagement_paralinguistic_D,D,task_engagement,QDA,vs_carlos_qda_gazespeak,8,0.5158860303223468,0.6325306637806637,-1.6836211888462398,0.13612973569731485,-0.5952499797912666,0.952908149881204,False
segment_group_task_engagement_paralinguistic_D,D,task_engagement,Random Forest,vs_carlos_qda_gazespeak,8,0.6036542673994328,0.6325306637806637,-0.34296547731726135,0.7416934264418467,-0.1212566073619583,1.0,False
segment_group_task_engagement_paralinguistic_D,D,task_engagement,SVM (linear),vs_carlos_qda_gazespeak,8,0.651093764491966,0.6325306637806637,0.16248813974991647,0.8755125671659434,0.057448232739776665,1.0,False
segment_group_task_engagement_paralinguistic_D,D,task_engagement,SVM (rbf),vs_carlos_qda_gazespeak,8,0.6512258561505022,0.6325306637806637,0.1639489643654937,0.874404718625972,0.05796471223567611,1.0,False
segment_group_task_engagement_paralinguistic_D,D,task_engagement,kNN,vs_carlos_qda_gazespeak,8,0.589320384532118,0.6325306637806637,-0.5037435489952559,0.6299047440791583,-0.1781002397367616,1.0,False
segment_group_task_engagement_paralinguistic_T,T,task_engagement,Logistic Regression,vs_baseline_uniform,12,0.7237958531322795,0.5121801233564529,4.158936067087488,0.0015922098550729827,1.2005814289377021,0.01114546898551088,True
segment_group_task_engagement_paralinguistic_T,T,task_engagement,Naive Bayes,vs_baseline_uniform,12,0.7021211093765776,0.5121801233564529,4.225803274055821,0.0014224223358996343,1.219884328909265,0.00995695635129744,True
segment_group_task_engagement_paralinguistic_T,T,task_engagement,QDA,vs_baseline_uniform,12,0.6950692580258258,0.5121801233564529,4.531790878234258,0.0008553129258246637,1.3082153417298195,0.0059871904807726455,True
segment_group_task_engagement_paralinguistic_T,T,task_engagement,Random Forest,vs_baseline_uniform,12,0.6960364102875989,0.5121801233564529,4.985666861189423,0.00041173781598774197,1.4392380521987553,0.002882164711914194,True
segment_group_task_engagement_paralinguistic_T,T,task_engagement,SVM (linear),vs_baseline_uniform,12,0.7351736332588144,0.5121801233564529,4.358745861645556,0.0011386701150344443,1.2582615482751145,0.007970690805241109,True
segment_group_task_engagement_paralinguistic_T,T,task_engagement,SVM (rbf),vs_baseline_uniform,12,0.7287677938333217,0.5121801233564529,4.185552870226226,0.0015222213392122935,1.208265038166261,0.010655549374486054,True
segment_group_task_engagement_paralinguistic_T,T,task_engagement,kNN,vs_baseline_uniform,12,0.6951421341016782,0.5121801233564529,4.726962099429852,0.0006224042174515868,1.3645564202774916,0.004356829522161107,True
segment_group_task_engagement_paralinguistic_T,T,task_engagement,Logistic Regression,vs_carlos_qda_gazespeak,12,0.7237958531322795,0.5506639194139195,1.9884751723925076,0.07221497406727605,0.574023338028851,0.5055048184709323,False
segment_group_task_engagement_paralinguistic_T,T,task_engagement,Naive Bayes,vs_carlos_qda_gazespeak,12,0.7021211093765776,0.5506639194139195,1.9331027257910587,0.07936690643534797,0.5580386895533336,0.5555683450474358,False
segment_group_task_engagement_paralinguistic_T,T,task_engagement,QDA,vs_carlos_qda_gazespeak,12,0.6950692580258258,0.5506639194139195,1.9821190302576357,0.07300435373285812,0.5721884778425629,0.5110304761300068,False
segment_group_task_engagement_paralinguistic_T,T,task_engagement,Random Forest,vs_carlos_qda_gazespeak,12,0.6960364102875989,0.5506639194139195,1.9980284561377113,0.07104349794201202,0.57678113349982,0.49730448559408413,False
segment_group_task_engagement_paralinguistic_T,T,task_engagement,SVM (linear),vs_carlos_qda_gazespeak,12,0.7351736332588144,0.5506639194139195,2.0954616544801303,0.06007035775224447,0.604907675145321,0.42049250426571133,False
segment_group_task_engagement_paralinguistic_T,T,task_engagement,SVM (rbf),vs_carlos_qda_gazespeak,12,0.7287677938333217,0.5506639194139195,2.0217649648022094,0.06820919545502312,0.5836332733333549,0.4774643681851618,False
segment_group_task_engagement_paralinguistic_T,T,task_engagement,kNN,vs_carlos_qda_gazespeak,12,0.6951421341016782,0.5506639194139195,1.917395154072128,0.08151220041804869,0.5535043041732135,0.5705854029263409,False
segment_group_task_engagement_paralinguistic_all,all,task_engagement,Logistic Regression,vs_baseline_uniform,20,0.7085293138758493,0.5042711448632008,4.943338505435033,9.023478818284752e-05,1.1053640933944948,0.0006316435172799326,True
segment_group_task_engagement_paralinguistic_all,all,task_engagement,Naive Bayes,vs_baseline_uniform,20,0.5678072003559709,0.5042711448632008,2.754137805664557,0.0126212066469069,0.6158439352868054,0.0883484465283483,False
segment_group_task_engagement_paralinguistic_all,all,task_engagement,QDA,vs_baseline_uniform,20,0.5861811686196471,0.5042711448632008,4.15167864851059,0.0005418912197013992,0.9283435678804134,0.0037932385379097944,True
segment_group_task_engagement_paralinguistic_all,all,task_engagement,Random Forest,vs_baseline_uniform,20,0.6760819041777512,0.5042711448632008,5.330237709521257,3.822638348719752e-05,1.191877385472231,0.0002675846844103826,True
segment_group_task_engagement_paralinguistic_all,all,task_engagement,SVM (linear),vs_baseline_uniform,20,0.7127485823037992,0.5042711448632008,5.187896216754501,5.2343482027511984e-05,1.1600488600877044,0.0003664043741925839,True
segment_group_task_engagement_paralinguistic_all,all,task_engagement,SVM (rbf),vs_baseline_uniform,20,0.7103511158949735,0.5042711448632008,4.881384361389336,0.00010367090762459018,1.0915107256370955,0.0007256963533721312,True
segment_group_task_engagement_paralinguistic_all,all,task_engagement,kNN,vs_baseline_uniform,20,0.6597384791659355,0.5042711448632008,5.222976912474988,4.84327173437573e-05,1.1678931421206042,0.00033902902140630107,True
segment_group_task_engagement_paralinguistic_all,all,task_engagement,Logistic Regression,vs_carlos_qda_gazespeak,20,0.7085293138758493,0.5977185314685315,1.8764100688794354,0.07604574973078178,0.419578046767948,0.5323202481154724,False
segment_group_task_engagement_paralinguistic_all,all,task_engagement,Naive Bayes,vs_carlos_qda_gazespeak,20,0.5678072003559709,0.5977185314685315,-0.6864166106927047,0.5007423223975953,-0.1534874202393897,1.0,False
segment_group_task_engagement_paralinguistic_all,all,task_engagement,QDA,vs_carlos_qda_gazespeak,20,0.5861811686196471,0.5977185314685315,-0.2686296271785738,0.7911098416326763,-0.06006741071417161,1.0,False
segment_group_task_engagement_paralinguistic_all,all,task_engagement,Random Forest,vs_carlos_qda_gazespeak,20,0.6760819041777512,0.5977185314685315,1.5819085773841415,0.13017432229425177,0.3537255113220927,0.9112202560597624,False
segment_group_task_engagement_paralinguistic_all,all,task_engagement,SVM (linear),vs_carlos_qda_gazespeak,20,0.7127485823037992,0.5977185314685315,1.9563210276586627,0.06528986873469436,0.4374466803657015,0.45702908114286056,False
segment_group_task_engagement_paralinguistic_all,all,task_engagement,SVM (rbf),vs_carlos_qda_gazespeak,20,0.7103511158949735,0.5977185314685315,1.8854191411347627,0.07475950176564691,0.4215925365656599,0.5233165123595284,False
segment_group_task_engagement_paralinguistic_all,all,task_engagement,kNN,vs_carlos_qda_gazespeak,20,0.6597384791659355,0.5977185314685315,1.265245585675541,0.2210808245605844,0.2829175137802044,1.0,False
segment_individual_engagement_audio_D,D,engagement_target,Logistic Regression,vs_baseline_uniform,8,0.5775086354836066,0.4742926577912035,1.2755900427455356,0.24279746631583746,0.45098918461970305,1.0,False
segment_individual_engagement_audio_D,D,engagement_target,Naive Bayes,vs_baseline_uniform,8,0.548694671114673,0.4742926577912035,1.1681349298955859,0.2809932534288363,0.4129980651350205,1.0,False
segment_individual_engagement_audio_D,D,engagement_target,QDA,vs_baseline_uniform,8,0.5325548870083036,0.4742926577912035,1.0445445132802433,0.33095749287048837,0.3693022542958309,1.0,False
segment_individual_engagement_audio_D,D,engagement_target,Random Forest,vs_baseline_uniform,8,0.48242899366858255,0.4742926577912035,0.18760133806885093,0.8565112703582198,0.06632708915407726,1.0,False
segment_individual_engagement_audio_D,D,engagement_target,SVM (linear),vs_baseline_uniform,8,0.5916165204383688,0.4742926577912035,1.276025849595039,0.2426520577504563,0.45114326560898876,1.0,False
segment_individual_engagement_audio_D,D,engagement_target,SVM (rbf),vs_baseline_uniform,8,0.5385363644732681,0.4742926577912035,1.0819859987349174,0.3151173174120706,0.3825398184271797,1.0,False
segment_individual_engagement_audio_D,D,engagement_target,kNN,vs_baseline_uniform,8,0.49125159931540613,0.4742926577912035,0.456870770805467,0.6616036169797064,0.16152821008123533,1.0,False
segment_individual_engagement_audio_T,T,engagement_target,Logistic Regression,vs_baseline_uniform,12,0.5929994842120693,0.5142909572290686,1.4001925861843998,0.1890243812219415,0.40420078327544073,1.0,False
segment_individual_engagement_audio_T,T,engagement_target,Naive Bayes,vs_baseline_uniform,12,0.6431582475541376,0.5142909572290686,2.860440167980256,0.015504429029099685,0.8257379504921095,0.1085310032036978,False
segment_individual_engagement_audio_T,T,engagement_target,QDA,vs_baseline_uniform,12,0.610426182464676,0.5142909572290686,2.4895551057695733,0.030059160919314102,0.7186726552392351,0.21041412643519872,False
segment_individual_engagement_audio_T,T,engagement_target,Random Forest,vs_baseline_uniform,12,0.5670325742874716,0.5142909572290686,1.9607606743383197,0.0757161436341747,0.5660228515728304,0.5300130054392229,False
